Geography,Actual,Predict,Deviation
"Linn County, Oregon",186.5,182.73853,0.019313454308394772
"Champaign County, Illinois",152.5,168.75772,0.08313548603995902
"Saratoga County, New York",174.2,161.89906,0.024803520754475755
"Montmorency County, Michigan",207.6,187.44191,0.08156040316601937
"Barrow County, Georgia",192.0,188.62709,0.07080817222595215
"Campbell County, Wyoming",215.9,151.04396,0.2714330364896943
"Big Stone County, Minnesota",178.0,172.90495,0.0280642563037658
"Santa Cruz County, California",145.4,154.19824,0.03970250860369021
"Hays County, Texas",149.5,143.24171,0.016985839027226172
"Richland County, South Carolina",184.8,163.09775,0.03817791959424045
"Summit County, Utah",123.6,133.22261,0.1512048591687841
"Quay County, New Mexico",190.6,192.08478,0.06096283311233438
"Benewah County, Idaho",222.2,207.19821,0.07595115132851171
"Sullivan County, New York",178.8,181.66692,0.012976132249938764
"Oklahoma County, Oklahoma",186.1,172.36824,0.0648990981621104
"Murray County, Georgia",204.0,186.64813,0.06220896103802849
"Hopkins County, Kentucky",196.7,199.094,0.03286637663538219
"Jerome County, Idaho",147.6,148.81194,0.005473584017456347
"Marlboro County, South Carolina",231.1,233.37946,0.04148374167111773
"Howard County, Iowa",165.8,171.49857,0.14470533640163216
"Laurens County, Georgia",169.7,203.11159,0.20702083769726917
"Gasconade County, Missouri",180.8,189.35402,0.05428417172052157
"Cole County, Missouri",168.6,186.44746,0.009347374894582188
"Calhoun County, Georgia",162.8,193.3826,0.15530740423928893
"Somerset County, Maryland",216.5,226.66165,0.06177074969778435
"Northumberland County, Pennsylvania",177.5,181.25085,0.0003166950924295775
"Dodge County, Nebraska",177.9,188.9548,0.09552118602664766
"Greene County, Missouri",173.6,176.01099,0.0038700191656016315
"Monroe County, Arkansas",229.9,254.81909,0.07787586824434539
"Buena Vista County, Iowa",149.1,161.18471,0.08135875801685115
"Swain County, North Carolina",215.3,206.4806,0.008711060534174645
"Pennington County, South Dakota",159.7,169.07773,0.10051546234149976
"Dallas County, Alabama",217.4,244.22519,0.0842014653154108
"Newton County, Mississippi",185.3,188.0206,0.03856909680353643
"Torrance County, New Mexico",164.3,201.55096,0.002510428356093966
"Pawnee County, Kansas",182.5,166.77513,0.11693533283390412
