Geography,Actual,Predict,Deviation
"Linn County, Oregon",186.5,182.73853,0.02016876466152815
"Champaign County, Illinois",152.5,168.75772,0.10660800621157787
"Saratoga County, New York",174.2,161.89906,0.07061387422301049
"Montmorency County, Michigan",207.6,187.44191,0.09710062721561143
"Barrow County, Georgia",192.0,188.62709,0.017567237218221027
"Campbell County, Wyoming",215.9,151.04396,0.300398515186248
"Big Stone County, Minnesota",178.0,172.90495,0.028623859534102878
"Santa Cruz County, California",145.4,154.19824,0.060510606516506145
"Hays County, Texas",149.5,143.24171,0.04186144162181229
"Richland County, South Carolina",184.8,163.09775,0.1174364296388833
"Summit County, Utah",123.6,133.22261,0.0778528355471911
"Quay County, New Mexico",190.6,192.08478,0.00779002010509578
"Benewah County, Idaho",222.2,207.19821,0.06751479896524804
"Sullivan County, New York",178.8,181.66692,0.01603420522122302
"Oklahoma County, Oklahoma",186.1,172.36824,0.07378699432323849
"Murray County, Georgia",204.0,186.64813,0.08505817488128063
"Hopkins County, Kentucky",196.7,199.094,0.012170788716954812
"Jerome County, Idaho",147.6,148.81194,0.008210944612497922
"Marlboro County, South Carolina",231.1,233.37946,0.009863503099983798
"Howard County, Iowa",165.8,171.49857,0.034370118660000684
"Laurens County, Georgia",169.7,203.11159,0.19688619637250487
"Gasconade County, Missouri",180.8,189.35402,0.04731205290397705
"Cole County, Missouri",168.6,186.44746,0.10585684453889573
"Calhoun County, Georgia",162.8,193.3826,0.18785380145548594
"Somerset County, Maryland",216.5,226.66165,0.04693603515625
"Northumberland County, Pennsylvania",177.5,181.25085,0.02113157460387324
"Dodge County, Nebraska",177.9,188.9548,0.06214054787406897
"Greene County, Missouri",173.6,176.01099,0.013888170092885978
"Monroe County, Arkansas",229.9,254.81909,0.10839100390115265
"Buena Vista County, Iowa",149.1,161.18471,0.0810510237531963
"Swain County, North Carolina",215.3,206.4806,0.040963278777977
"Pennington County, South Dakota",159.7,169.07773,0.05872090339063486
