Geography,Actual,Predict,Deviation
"Linn County, Oregon",186.5,176.69582,0.029078915675268095
"Champaign County, Illinois",152.5,159.14197,0.11196829373719262
"Saratoga County, New York",174.2,163.96185,0.08647066416340767
"Montmorency County, Michigan",207.6,201.80174,0.03975065962657301
"Barrow County, Georgia",192.0,191.9327,0.03867093722025553
"Campbell County, Wyoming",215.9,156.17307,0.2554710992457084
"Big Stone County, Minnesota",178.0,169.00746,0.06638276175166784
"Santa Cruz County, California",145.4,163.4992,0.17764448037337727
"Hays County, Texas",149.5,146.743,0.11352059354750209
"Richland County, South Carolina",184.8,167.88724,0.07168293412113608
"Summit County, Utah",123.6,134.31868,0.07857824529258955
"Quay County, New Mexico",190.6,190.75407,0.012012926003615258
"Benewah County, Idaho",222.2,196.55174,0.052749070683435484
"Sullivan County, New York",178.8,173.40976,0.015896944391647502
"Oklahoma County, Oklahoma",186.1,168.74655,0.07432297876225817
"Murray County, Georgia",204.0,191.66316,0.09859384274950214
"Hopkins County, Kentucky",196.7,193.78076,0.008926058033728337
"Jerome County, Idaho",147.6,163.29895,0.16067384962790063
"Marlboro County, South Carolina",231.1,229.30696,0.00847918561195102
"Howard County, Iowa",165.8,195.16338,0.11154931301949819
"Laurens County, Georgia",169.7,193.7082,0.1585967064465786
"Gasconade County, Missouri",180.8,190.6291,0.05697825946639063
"Cole County, Missouri",168.6,185.49876,0.03776228102642167
"Calhoun County, Georgia",162.8,203.69331,0.25716057104912077
"Somerset County, Maryland",216.5,208.7643,0.007107001253969399
"Northumberland County, Pennsylvania",177.5,173.44467,0.050851655342209506
"Dodge County, Nebraska",177.9,190.00119,0.09520854810572123
"Greene County, Missouri",173.6,171.8236,0.027524499849240318
"Monroe County, Arkansas",229.9,230.10545,0.09782626702506522
"Buena Vista County, Iowa",149.1,168.98985,0.11777026088824619
"Swain County, North Carolina",215.3,200.25024,0.0940732907207966
"Pennington County, South Dakota",159.7,163.43475,0.10192467887176158
"Dallas County, Alabama",217.4,216.93018,0.07874955753722979
"Newton County, Mississippi",185.3,188.58386,0.03562282473733466
"Torrance County, New Mexico",164.3,197.0475,0.18006505983599924
"Pawnee County, Kansas",182.5,152.92223,0.11064444764019692
"Stark County, North Dakota",131.8,155.90099,0.19461603700119726
"Bosque County, Texas",190.7,188.6729,0.003614804728467548
"Scott County, Arkansas",207.4,183.8931,0.042786954109096276
"New Madrid County, Missouri",229.7,215.72426,0.07616794239089024
"Dimmit County, Texas",148.0,122.793076,0.013013994371568834
"Red River Parish, Louisiana",172.2,181.87086,0.06625192533663625
"Schuyler County, Missouri",208.7,185.86107,0.11397878210911291
"Fayette County, Georgia",140.8,149.54124,0.08306418765674929
"Morgan County, Alabama",184.9,183.63441,0.04102438910707649
"Colbert County, Alabama",190.5,175.1383,0.05996319628137303
"Sherman County, Nebraska",187.4,149.68239,0.16479967701524148
"Clay County, Kansas",169.2,158.1298,0.014171086304576752
"Tattnall County, Georgia",216.4,209.41104,0.016869451554557557
"Maries County, Missouri",187.4,177.54225,0.01158913985896648
"Vermilion County, Illinois",203.1,202.02673,0.008040232355520708
"Roberts County, South Dakota",179.9,193.17468,0.03545606527280784
"Hot Springs County, Wyoming",163.0,161.75862,0.05605292759058666
"Mingo County, West Virginia",240.8,234.66695,0.022478401462897066
"Boone County, Arkansas",198.2,185.73192,0.03846386583253179
"San Benito County, California",150.4,164.61015,0.10816387420004983
"Park County, Colorado",137.9,151.68832,0.05501334540994384
"Randolph County, West Virginia",168.6,179.36989,0.05417606810799418
"Essex County, Vermont",171.3,203.31488,0.017724940739245906
"Santa Rosa County, Florida",190.7,162.23685,0.14085864270614834
"Logan County, West Virginia",240.1,214.83281,0.015239621837255335
"Sumter County, Alabama",216.2,217.14104,0.0060533917027420165
"Grady County, Oklahoma",193.7,175.80644,0.07754641066646226
"Buena Vista city, Virginia",240.8,209.00607,0.09951998941922113
"Jackson County, Michigan",193.8,175.97815,0.09154075095035964
"Marshall County, Indiana",163.7,172.33339,0.08675975951029902
"Carroll County, Indiana",166.3,175.61995,0.03639200087849512
"Gibson County, Tennessee",214.7,202.56915,0.01882439921165429
"Cherokee County, Iowa",135.4,164.06908,0.10660772732124718
"Carteret County, North Carolina",191.5,178.0196,0.05676715741269582
"Hancock County, Illinois",170.0,175.08754,0.02559186150045956
"Muhlenberg County, Kentucky",207.1,210.35042,0.009665098240961465
"Midland County, Texas",148.3,156.48117,0.054923429894270404
"Henry County, Alabama",194.1,204.1602,0.001940987148216155
