Geography,Actual,Predict,Deviation
"Linn County, Oregon",0.418343780930386,0.37347410095678,0.10725552050473162
"Champaign County, Illinois",0.3061695809963708,0.3823820521280106,0.2489224137931036
"Saratoga County, New York",0.3777631144836687,0.3295941933355328,0.1275109170305677
"Montmorency County, Michigan",0.487957769712966,0.4599142197294622,0.05747126436781606
"Barrow County, Georgia",0.4364896073903003,0.3833718244803695,0.12169312169312187
"Campbell County, Wyoming",0.5153414714615638,0.4018475750577367,0.22023047375160051
"Big Stone County, Minnesota",0.3903002309468822,0.3299241174529858,0.15469146238377016
"Santa Cruz County, California",0.2827449686572089,0.2959419333553282,0.046674445740956416
"Hays County, Texas",0.2962718574727813,0.2761464863081491,0.06792873051224965
"Richland County, South Carolina",0.4127350709336853,0.4308808973935994,0.04396482813748981
"Summit County, Utah",0.2108215110524579,0.2939623886506104,0.3943661971830992
"Quay County, New Mexico",0.4318706697459584,0.5447047179148796,0.261268143621085
"Benewah County, Idaho",0.5361266908611019,0.4599142197294622,0.14215384615384602
"Sullivan County, New York",0.3929396238865061,0.3837017485978224,0.023509655751469585
"Oklahoma County, Oklahoma",0.417024084460574,0.4097657538766084,0.01740506329113898
"Murray County, Georgia",0.4760805014846585,0.4734411085450346,0.005544005544005683
"Hopkins County, Kentucky",0.4519960409105905,0.5456944902672385,0.20729927007299281
"Jerome County, Idaho",0.2900032992411745,0.3530188056746948,0.21729237770193396
"Marlboro County, South Carolina",0.5654899373144177,0.48729792147806,0.13827304550758462
"Howard County, Iowa",0.350049488617618,0.2959419333553282,0.15457115928369491
"Laurens County, Georgia",0.3629165291982843,0.4681623226657868,0.29000000000000004
"Gasconade County, Missouri",0.3995381062355658,0.3474100956779941,0.13047068538398007
"Cole County, Missouri",0.3592873639063015,0.3724843286044209,0.03673094582185475
"Calhoun County, Georgia",0.3401517650940284,0.5160013196964698,0.5169738118331715
"Somerset County, Maryland",0.5173210161662818,0.5503134279115803,0.06377551020408155
"Northumberland County, Pennsylvania",0.3886506103596173,0.4186737050478389,0.07724957555178245
"Dodge County, Nebraska",0.3899703068294292,0.3091388980534477,0.20727580372250418
"Greene County, Missouri",0.3757835697789508,0.3286044209831739,0.12554872695346778
"Monroe County, Arkansas",0.5615308479049819,0.5549323655559222,0.011750881316098654
"Buena Vista County, Iowa",0.2949521610029693,0.2289673375123721,0.22371364653243853
"Swain County, North Carolina",0.513361926756846,0.5041240514681623,0.01799485861182537
"Pennington County, South Dakota",0.3299241174529858,0.3823820521280106,0.15900000000000017
"Dallas County, Alabama",0.5202903332233586,0.604091059056417,0.1610653138871275
"Newton County, Mississippi",0.4143846915209502,0.3088089739359947,0.2547770700636943
"Torrance County, New Mexico",0.3451006268558232,0.5938634114153745,0.7208413001912043
"Pawnee County, Kansas",0.4051468162322665,0.4556252062025734,0.1245928338762217
"Stark County, North Dakota",0.2378752886836027,0.2312768063345431,0.027739251040221447
"Bosque County, Texas",0.4322005938634113,0.4061365885846255,0.06030534351145028
"Scott County, Arkansas",0.48729792147806,0.3691850874298911,0.24238320920785375
"New Madrid County, Missouri",0.5608709996700758,0.4091059056417023,0.27058823529411774
"Dimmit County, Texas",0.2913229957109864,0.3774331903662158,0.2955832389580978
"Red River Parish, Louisiana",0.371164632134609,0.3863411415374465,0.04088888888888928
"Schuyler County, Missouri",0.4915869350049489,0.4289013526888815,0.12751677852349003
"Fayette County, Georgia",0.2675684592543715,0.3371824480369515,0.26017262638717636
"Morgan County, Alabama",0.4130649950511382,0.4444077862091719,0.07587859424920135
"Colbert County, Alabama",0.4315407456285054,0.3526888815572419,0.18272171253822617
"Sherman County, Nebraska",0.4213130979874628,0.2946222368855163,0.30070477682067337
"Clay County, Kansas",0.3612669086110194,0.2774661827779611,0.2319634703196345
"Tattnall County, Georgia",0.5169910920488288,0.4813592873639063,0.06892150606253984
"Maries County, Missouri",0.4213130979874628,0.46519300560871,0.1041503523884106
"Vermilion County, Illinois",0.4731111844275816,0.4727812603101287,0.0006973500697348632
"Roberts County, South Dakota",0.3965687891784889,0.3685252391949851,0.07071547420965069
"Hot Springs County, Wyoming",0.3408116133289344,0.230287033982184,0.3242981606969994
"Mingo County, West Virginia",0.5974925767073573,0.7070273837017486,0.18332413031474312
"Boone County, Arkansas",0.4569449026723853,0.5143516991092049,0.12563176895306868
"San Benito County, California",0.2992411745298581,0.3437809303860112,0.1488423373759648
"Park County, Colorado",0.2580006598482349,0.3754536456614978,0.45524296675191805
"Randolph County, West Virginia",0.3592873639063015,0.3352029033322337,0.06703397612488483
"Essex County, Vermont",0.3681953150775322,0.4157043879907621,0.12903225806451585
"Santa Rosa County, Florida",0.4322005938634113,0.3573078192015836,0.17328244274809146
"Logan County, West Virginia",0.5951831078851864,0.5179808644011877,0.12971175166297108
"Sumter County, Alabama",0.5163312438139228,0.4767403497195644,0.0766773162939299
"Grady County, Oklahoma",0.442098317387001,0.3210161662817552,0.27388059701492534
"Buena Vista city, Virginia",0.5974925767073573,0.4602441438469151,0.22970734400883513
"Jackson County, Michigan",0.442428241504454,0.3526888815572419,0.2028337061894108
"Marshall County, Indiana",0.3431210821511052,0.4252721873968986,0.2394230769230767
"Carroll County, Indiana",0.3516991092048829,0.3167271527548664,0.09943714821763601
"Gibson County, Tennessee",0.5113823820521279,0.4440778620917189,0.13161290322580635
"Cherokee County, Iowa",0.2497525569119102,0.2933025404157043,0.1743725231175693
"Carteret County, North Carolina",0.4348399868030352,0.464863081491257,0.06904400606980292
"Hancock County, Illinois",0.3639063015506434,0.3820521280105575,0.049864007252946124
"Muhlenberg County, Kentucky",0.4863081491257011,0.485978225008248,0.0006784260515605824
"Midland County, Texas",0.2923127680633455,0.2761464863081491,0.05530474040632089
"Henry County, Alabama",0.4434180138568129,0.3978884856483009,0.10267857142857127
"Bergen County, New Jersey",0.2890135268888155,0.3592873639063015,0.24315068493150707
"Grant County, Minnesota",0.3305839656878918,0.2332563510392609,0.29441117764471075
"White County, Arkansas",0.4675024744308809,0.4246123391619928,0.09174311926605487
"Woods County, Oklahoma",0.2164302210491586,0.3154074562850545,0.45731707317073267
"East Feliciana Parish, Louisiana",0.5031342791158033,0.5476740349719564,0.08852459016393448
"Glades County, Florida",0.2494226327944572,0.254041570438799,0.018518518518518486
"Swift County, Minnesota",0.3385021445067635,0.3464203233256351,0.023391812865496835
"Leon County, Florida",0.3170570768723194,0.325635103926097,0.027055150884495335
"Butler County, Iowa",0.3196964698119432,0.3784229627185748,0.18369453044375675
"Brevard County, Florida",0.4008578027053777,0.395249092708677,0.013991769547324987
"Metcalfe County, Kentucky",0.5222698779280766,0.6954800395908941,0.33164876816171823
"Merrimack County, New Hampshire",0.3741339491916858,0.4137248432860442,0.10582010582010612
"Montgomery County, Tennessee",0.4477070273837018,0.3427911580336522,0.23434045689019928
"Botetourt County, Virginia",0.2936324645331573,0.3206862421643022,0.09213483146067446
"Middlesex County, New Jersey",0.3200263939293962,0.3091388980534477,0.03402061855670095
"Southampton County, Virginia",0.4028373474100957,0.4572748267898383,0.13513513513513495
"Newport County, Rhode Island",0.3441108545034642,0.2721873968987132,0.20901246404602136
"Macon County, Alabama",0.5117123061695811,0.4549653579676674,0.11089619600257919
"Bear Lake County, Idaho",0.2754866380732431,0.3431210821511052,0.2455089820359283
"Luna County, New Mexico",0.4028373474100957,0.5183107885186408,0.28665028665028675
"Monongalia County, West Virginia",0.3173870009897723,0.3810623556581985,0.20062370062370052
"Pierce County, Wisconsin",0.2972616298251402,0.3724843286044209,0.2530521642619309
"Essex County, New Jersey",0.3368525239194986,0.2919828439458923,0.1332027424094032
"Luce County, Michigan",0.3813922797756516,0.4932365555922138,0.2932525951557094
"Warren County, Virginia",0.4711316397228637,0.3747937974265919,0.20448179271708672
"Starr County, Texas",0.2533817222038931,0.2741669416034312,0.08203124999999994
"Hardin County, Texas",0.4322005938634113,0.4684922467832398,0.08396946564885512
"Crittenden County, Kentucky",0.4998350379412735,0.4292312768063345,0.14125412541254131
"Coffee County, Alabama",0.3747937974265919,0.3860112174199933,0.029929577464788328
