Geography,Actual,Predict,Deviation
"Linn County, Oregon",0.418343780930386,0.48729792147806,0.16482649842271288
"Champaign County, Illinois",0.3061695809963708,0.3582975915539426,0.17025862068965522
"Saratoga County, New York",0.3777631144836687,0.3398218409765753,0.10043668122270757
"Montmorency County, Michigan",0.487957769712966,0.5456944902672385,0.11832319134550365
"Barrow County, Georgia",0.4364896073903003,0.5014846585285384,0.14890400604686296
"Campbell County, Wyoming",0.5153414714615638,0.3130979874628835,0.39244558258642775
"Big Stone County, Minnesota",0.3903002309468822,0.230616958099637,0.40912933220625547
"Santa Cruz County, California",0.2827449686572089,0.3602771362586605,0.27421236872812105
"Hays County, Texas",0.2962718574727813,0.4364896073903003,0.4732739420935413
"Richland County, South Carolina",0.4127350709336853,0.466182777961069,0.12949640287769787
"Summit County, Utah",0.2108215110524579,0.2405146816232266,0.14084507042253513
"Quay County, New Mexico",0.4318706697459584,0.5278785879247773,0.22230710466004586
"Benewah County, Idaho",0.5361266908611019,0.4599142197294622,0.14215384615384602
"Sullivan County, New York",0.3929396238865061,0.371494556252062,0.05457598656591103
"Oklahoma County, Oklahoma",0.417024084460574,0.4869679973606071,0.16772151898734206
"Murray County, Georgia",0.4760805014846585,0.4734411085450346,0.005544005544005683
"Hopkins County, Kentucky",0.4519960409105905,0.5456944902672385,0.20729927007299281
"Jerome County, Idaho",0.2900032992411745,0.322995710986473,0.11376564277588137
"Marlboro County, South Carolina",0.5654899373144177,0.4285714285714286,0.24212368728121345
"Howard County, Iowa",0.350049488617618,0.301880567469482,0.13760603204524047
"Laurens County, Georgia",0.3629165291982843,0.438799076212471,0.20909090909090897
"Gasconade County, Missouri",0.3995381062355658,0.4354998350379412,0.09000825763831535
"Cole County, Missouri",0.3592873639063015,0.3840316727152755,0.06887052341597813
"Calhoun County, Georgia",0.3401517650940284,0.4998350379412735,0.46944713870029087
"Somerset County, Maryland",0.5173210161662818,0.5503134279115803,0.06377551020408155
"Northumberland County, Pennsylvania",0.3886506103596173,0.4186737050478389,0.07724957555178245
"Dodge County, Nebraska",0.3899703068294292,0.4064665127020785,0.04230118443316423
"Greene County, Missouri",0.3757835697789508,0.4064665127020785,0.08165057067603175
"Monroe County, Arkansas",0.5615308479049819,0.5440448696799736,0.031139835487661673
"Buena Vista County, Iowa",0.2949521610029693,0.3507093368525239,0.18903803131991068
"Swain County, North Carolina",0.513361926756846,0.44308808973936,0.1368894601542417
"Pennington County, South Dakota",0.3299241174529858,0.3365225998020454,0.019999999999999744
"Dallas County, Alabama",0.5202903332233586,0.604091059056417,0.1610653138871275
"Newton County, Mississippi",0.4143846915209502,0.3922797756516001,0.05334394904458609
"Torrance County, New Mexico",0.3451006268558232,0.4054767403497196,0.17495219885277236
"Pawnee County, Kansas",0.4051468162322665,0.4490267238535137,0.1083061889250817
"Stark County, North Dakota",0.2378752886836027,0.3480699439129,0.4632454923717064
"Bosque County, Texas",0.4322005938634113,0.3418013856812933,0.20916030534351124
"Scott County, Arkansas",0.48729792147806,0.4473771032662488,0.08192281651997277
"New Madrid County, Missouri",0.5608709996700758,0.5143516991092049,0.08294117647058816
"Dimmit County, Texas",0.2913229957109864,0.3530188056746948,0.21177802944507376
"Red River Parish, Louisiana",0.371164632134609,0.4391290003299242,0.18311111111111147
"Schuyler County, Missouri",0.4915869350049489,0.5301880567469482,0.07852348993288596
"Fayette County, Georgia",0.2675684592543715,0.3635763774331904,0.35881627620221945
"Morgan County, Alabama",0.4130649950511382,0.4044869679973606,0.02076677316293918
"Colbert County, Alabama",0.4315407456285054,0.4935664797096668,0.1437308868501531
"Sherman County, Nebraska",0.4213130979874628,0.2946222368855163,0.30070477682067337
"Clay County, Kansas",0.3612669086110194,0.3206862421643022,0.11232876712328756
"Tattnall County, Georgia",0.5169910920488288,0.464863081491257,0.10082961072112319
"Maries County, Missouri",0.4213130979874628,0.4500164962058726,0.06812842599843388
"Vermilion County, Illinois",0.4731111844275816,0.4450676344440778,0.05927475592747557
"Roberts County, South Dakota",0.3965687891784889,0.4470471791487957,0.12728785357737096
"Hot Springs County, Wyoming",0.3408116133289344,0.4008578027053777,0.1761858664085185
"Mingo County, West Virginia",0.5974925767073573,0.7070273837017486,0.18332413031474312
"Boone County, Arkansas",0.4569449026723853,0.532827449686572,0.16606498194945848
"San Benito County, California",0.2992411745298581,0.348399868030353,0.16427783902976853
"Park County, Colorado",0.2580006598482349,0.3045199604091059,0.180306905370844
"Randolph County, West Virginia",0.3592873639063015,0.3935994721214121,0.09550045913682301
"Essex County, Vermont",0.3681953150775322,0.5146816232266579,0.39784946236559127
"Santa Rosa County, Florida",0.4322005938634113,0.3431210821511052,0.20610687022900753
"Logan County, West Virginia",0.5951831078851864,0.5074232926426921,0.147450110864745
"Sumter County, Alabama",0.5163312438139228,0.3833718244803695,0.2575079872204473
"Grady County, Oklahoma",0.442098317387001,0.3282744968657208,0.2574626865671644
"Buena Vista city, Virginia",0.5974925767073573,0.4978554932365555,0.16675869685256786
"Jackson County, Michigan",0.442428241504454,0.371494556252062,0.16032811334824762
"Marshall County, Indiana",0.3431210821511052,0.440118772682283,0.28269230769230763
"Carroll County, Indiana",0.3516991092048829,0.37017485978225,0.05253283302063763
"Gibson County, Tennessee",0.5113823820521279,0.5018145826459914,0.01870967741935467
"Cherokee County, Iowa",0.2497525569119102,0.490267238535137,0.9630118890356678
"Carteret County, North Carolina",0.4348399868030352,0.4348399868030352,0.0
"Hancock County, Illinois",0.3639063015506434,0.3454305509732761,0.05077062556663679
"Muhlenberg County, Kentucky",0.4863081491257011,0.485978225008248,0.0006784260515605824
"Midland County, Texas",0.2923127680633455,0.2982514021774991,0.020316027088035718
"Henry County, Alabama",0.4434180138568129,0.4790498185417354,0.08035714285714293
"Bergen County, New Jersey",0.2890135268888155,0.2840646651270208,0.017123287671232612
"Grant County, Minnesota",0.3305839656878918,0.3035301880567469,0.08183632734530945
"White County, Arkansas",0.4675024744308809,0.4107555262289672,0.12138320395201153
"Woods County, Oklahoma",0.2164302210491586,0.3101286704058066,0.432926829268293
"East Feliciana Parish, Louisiana",0.5031342791158033,0.4496865720884196,0.10622950819672135
"Glades County, Florida",0.2494226327944572,0.254041570438799,0.018518518518518486
"Swift County, Minnesota",0.3385021445067635,0.3408116133289344,0.006822612085769883
"Leon County, Florida",0.3170570768723194,0.2903332233586274,0.08428720083246664
"Butler County, Iowa",0.3196964698119432,0.3352029033322337,0.04850361197110464
"Brevard County, Florida",0.4008578027053777,0.3305839656878918,0.1753086419753085
"Metcalfe County, Kentucky",0.5222698779280766,0.6954800395908941,0.33164876816171823
"Merrimack County, New Hampshire",0.3741339491916858,0.3629165291982843,0.029982363315696554
"Montgomery County, Tennessee",0.4477070273837018,0.3599472121412076,0.19602063375092108
"Botetourt County, Virginia",0.2936324645331573,0.2609699769053117,0.11123595505617973
"Middlesex County, New Jersey",0.3200263939293962,0.2989112504124052,0.06597938144329872
"Southampton County, Virginia",0.4028373474100957,0.4572748267898383,0.13513513513513495
"Newport County, Rhode Island",0.3441108545034642,0.2764764104256021,0.19654841802492803
"Macon County, Alabama",0.5117123061695811,0.4110854503464204,0.19664732430689874
"Bear Lake County, Idaho",0.2754866380732431,0.3071593533487298,0.1149700598802398
