Geography,Actual,Predict,Deviation
"Linn County, Oregon",186.5,176.4,0.05415549597855225
"Champaign County, Illinois",152.5,168.1,0.10229508196721308
"Saratoga County, New York",174.2,159.6,0.08381171067738229
"Montmorency County, Michigan",207.6,199.1,0.04094412331406551
"Barrow County, Georgia",192.0,175.3,0.08697916666666661
"Campbell County, Wyoming",215.9,187.2,0.13293191292264944
"Big Stone County, Minnesota",178.0,157.6,0.11460674157303374
"Santa Cruz County, California",145.4,157.1,0.08046767537826677
"Hays County, Texas",149.5,160.1,0.07090301003344478
"Richland County, South Carolina",184.8,190.3,0.02976190476190476
"Summit County, Utah",123.6,139.0,0.12459546925566348
"Quay County, New Mexico",190.6,219.7,0.1526757607555089
"Benewah County, Idaho",222.2,193.3,0.13006300630062997
"Sullivan County, New York",178.8,179.5,0.003914988814317609
"Oklahoma County, Oklahoma",186.1,183.9,0.01182160128962917
"Murray County, Georgia",204.0,200.6,0.016666666666666694
"Hopkins County, Kentucky",196.7,225.1,0.14438230808337574
"Jerome County, Idaho",147.6,159.3,0.07926829268292694
"Marlboro County, South Carolina",231.1,189.6,0.17957594115101688
"Howard County, Iowa",165.8,172.8,0.04221954161640531
"Laurens County, Georgia",169.7,201.6,0.18797878609310553
"Gasconade County, Missouri",180.8,165.0,0.0873893805309735
"Cole County, Missouri",168.6,150.6,0.10676156583629894
"Calhoun County, Georgia",162.8,234.9,0.44287469287469283
"Somerset County, Maryland",216.5,192.1,0.11270207852193997
"Northumberland County, Pennsylvania",177.5,184.9,0.04169014084507045
"Dodge County, Nebraska",177.9,157.5,0.11467116357504219
"Greene County, Missouri",173.6,159.3,0.08237327188940083
"Monroe County, Arkansas",229.9,227.9,0.008699434536755112
"Buena Vista County, Iowa",149.1,129.1,0.1341381623071764
"Swain County, North Carolina",215.3,208.6,0.031119368323269933
"Pennington County, South Dakota",159.7,184.4,0.15466499686912974
"Dallas County, Alabama",217.4,242.8,0.11683532658693654
"Newton County, Mississippi",185.3,178.6,0.03615758229897473
"Torrance County, New Mexico",164.3,229.8,0.39866098600121724
"Pawnee County, Kansas",182.5,197.8,0.08383561643835623
"Stark County, North Dakota",131.8,129.8,0.015174506828528072
"Bosque County, Texas",190.7,182.4,0.043523859465128385
"Scott County, Arkansas",207.4,171.6,0.17261330761812926
"New Madrid County, Missouri",229.7,171.6,0.25293861558554637
"Dimmit County, Texas",148.0,164.8,0.11351351351351359
"Red River Parish, Louisiana",172.2,192.8,0.1196283391405344
"Schuyler County, Missouri",208.7,194.1,0.06995687589841876
"Fayette County, Georgia",140.8,155.3,0.10298295454545453
"Morgan County, Alabama",184.9,188.0,0.016765819361817168
"Colbert County, Alabama",190.5,175.3,0.0797900262467191
"Sherman County, Nebraska",187.4,142.5,0.23959445037353258
"Clay County, Kansas",169.2,143.8,0.15011820330969255
"Tattnall County, Georgia",216.4,165.3,0.2361367837338262
"Maries County, Missouri",187.4,200.7,0.07097118463180353
"Vermilion County, Illinois",203.1,214.1,0.05416051206302314
"Roberts County, South Dakota",179.9,171.0,0.04947192884936079
"Hot Springs County, Wyoming",163.0,145.5,0.10736196319018405
"Mingo County, West Virginia",240.8,280.8,0.16611295681063123
"Boone County, Arkansas",198.2,214.0,0.0797174571140263
"San Benito County, California",150.4,163.9,0.08976063829787234
"Park County, Colorado",137.9,162.0,0.17476432197244376
"Randolph County, West Virginia",168.6,179.0,0.061684460260972754
"Essex County, Vermont",171.3,188.8,0.10215995329830706
"Santa Rosa County, Florida",190.7,172.2,0.09701101206082853
"Logan County, West Virginia",240.1,222.1,0.07496876301541025
"Sumter County, Alabama",216.2,175.9,0.18640148011100827
"Grady County, Oklahoma",193.7,157.0,0.18946824987093439
"Buena Vista city, Virginia",240.8,199.2,0.17275747508305656
"Jackson County, Michigan",193.8,169.2,0.12693498452012394
"Marshall County, Indiana",163.7,188.6,0.1521075137446549
"Carroll County, Indiana",166.3,157.0,0.055923030667468496
"Gibson County, Tennessee",214.7,194.3,0.09501630181648803
"Cherokee County, Iowa",135.4,154.5,0.14106351550960114
"Carteret County, North Carolina",191.5,200.6,0.04751958224543078
"Hancock County, Illinois",170.0,169.8,0.0011764705882352272
"Muhlenberg County, Kentucky",207.1,207.0,0.00048285852245289384
"Midland County, Texas",148.3,160.1,0.07956844234659462
"Henry County, Alabama",194.1,194.3,0.0010303967027306391
"Bergen County, New Jersey",147.3,168.6,0.1446028513238288
"Grant County, Minnesota",159.9,129.1,0.19262038774233903
"White County, Arkansas",201.4,190.0,0.05660377358490569
"Woods County, Oklahoma",125.3,152.6,0.21787709497206703
"East Feliciana Parish, Louisiana",212.2,218.4,0.029217719132893578
"Glades County, Florida",135.3,150.2,0.11012564671101238
"Swift County, Minnesota",162.3,164.7,0.014787430683918528
