Geography,Actual,Predict,Deviation
"Linn County, Oregon",0.418343780930386,0.427854887219122,0.022735144448863483
"Champaign County, Illinois",0.3061695809963708,0.355862842798124,0.16230633245809697
"Saratoga County, New York",0.3777631144836687,0.35901971886812295,0.049616796603248255
"Montmorency County, Michigan",0.487957769712966,0.4267995403566711,0.1253350866659431
"Barrow County, Georgia",0.4364896073903003,0.412152337208996,0.055756814753993376
"Campbell County, Wyoming",0.5153414714615638,0.3769649056384524,0.2685143220293538
"Big Stone County, Minnesota",0.3903002309468822,0.3266023717788978,0.1632022072173802
"Santa Cruz County, California",0.2827449686572089,0.2992454977796243,0.05835834745629062
"Hays County, Texas",0.2962718574727813,0.27582043308235416,0.06902925092136374
"Richland County, South Carolina",0.4127350709336853,0.3597274653041386,0.12843009805208305
"Summit County, Utah",0.2108215110524579,0.26753311493221743,0.26900292857519753
"Quay County, New Mexico",0.4318706697459584,0.41220301345279475,0.04554061590876928
"Benewah County, Idaho",0.5361266908611019,0.4788014081389666,0.10692488118817972
"Sullivan County, New York",0.3929396238865061,0.40936145330218177,0.041792245977256864
"Oklahoma County, Oklahoma",0.417024084460574,0.3857488156116027,0.07499631319717726
"Murray County, Georgia",0.4760805014846585,0.45258304392174675,0.04935605951017712
"Hopkins County, Kentucky",0.4519960409105905,0.46888306870222324,0.03736100820178022
"Jerome County, Idaho",0.2900032992411745,0.39975629457483697,0.37845429904019445
"Marlboro County, South Carolina",0.5654899373144177,0.5184168969964537,0.08324293185749643
"Howard County, Iowa",0.350049488617618,0.3963928980598743,0.13239102169602165
"Laurens County, Georgia",0.3629165291982843,0.47728346529917465,0.31513289392890786
"Gasconade County, Missouri",0.3995381062355658,0.4334029287889939,0.08475993159326224
"Cole County, Missouri",0.3592873639063015,0.3572264092718645,0.005736229106500062
"Calhoun County, Georgia",0.3401517650940284,0.5256043033937532,0.5452052799092783
"Somerset County, Maryland",0.5173210161662818,0.46510309586540755,0.10093910486731493
"Northumberland County, Pennsylvania",0.3886506103596173,0.44007323663527476,0.1323106793221713
"Dodge County, Nebraska",0.3899703068294292,0.4045617209774288,0.03741673120354222
"Greene County, Missouri",0.3757835697789508,0.37034602104527414,0.014469894830354591
"Monroe County, Arkansas",0.5615308479049819,0.5101297839656695,0.09153738237371072
"Buena Vista County, Iowa",0.2949521610029693,0.3391260159861236,0.14976616829299852
"Swain County, North Carolina",0.513361926756846,0.47293511747886796,0.07874913812439037
"Pennington County, South Dakota",0.3299241174529858,0.34759153462316766,0.053549941442821304
"Dallas County, Alabama",0.5202903332233586,0.5271476395675763,0.013179768883528049
"Newton County, Mississippi",0.4143846915209502,0.433937098130073,0.04718419142695154
"Torrance County, New Mexico",0.3451006268558232,0.5091704299229379,0.47542597810365644
