Geography,Actual,Predict,Deviation
"Linn County, Oregon",186.5,189.38281631612347,0.015457460140072208
"Champaign County, Illinois",152.5,167.56202765211546,0.09876739444010138
"Saratoga County, New York",174.2,168.51887678895534,0.03261264759497503
"Montmorency County, Michigan",207.6,189.06294068204159,0.08929219324642779
"Barrow County, Georgia",192.0,184.62337340804447,0.038419930166435044
"Campbell County, Wyoming",215.9,173.9580628990429,0.19426557249169576
"Big Stone County, Minnesota",178.0,158.69317888612682,0.10846528715659093
"Santa Cruz County, California",145.4,150.4013103770297,0.03439690768245999
"Hays County, Texas",149.5,143.30117326725258,0.04146372396486569
"Richland County, South Carolina",184.8,168.7333947336537,0.0869405046880211
"Summit County, Utah",123.6,140.78928713602477,0.13907190239502246
"Quay County, New Mexico",190.6,184.63873337751534,0.031276320159940495
"Benewah County, Idaho",222.2,204.82470680690938,0.07819663903281104
"Sullivan County, New York",178.8,183.77745649588587,0.027838123578779978
"Oklahoma County, Oklahoma",186.1,176.62046601188433,0.05093785055408739
"Murray County, Georgia",204.0,196.87792061271736,0.03491215385922862
"Hopkins County, Kentucky",196.7,201.8184581236665,0.026021647807150484
"Jerome County, Idaho",147.6,180.8661328856585,0.22538030410337734
"Marlboro County, South Carolina",231.1,216.8321614796625,0.06173880796338168
"Howard County, Iowa",165.8,179.8466874019066,0.0847206719053473
"Laurens County, Georgia",169.7,204.36461833217606,0.2042699960646793
"Gasconade County, Missouri",180.8,191.06442771597307,0.05677227719011646
"Cole County, Missouri",168.6,167.97532465030991,0.00370507324845836
"Calhoun County, Georgia",162.8,219.01066435867068,0.34527435109748567
"Somerset County, Maryland",216.5,200.6727483567822,0.07310508842132936
"Northumberland County, Pennsylvania",177.5,193.08619802409953,0.0878095663329551
"Dodge County, Nebraska",177.9,182.32265762825898,0.024860357663063375
"Greene County, Missouri",173.6,171.95187897884423,0.009493784684076956
"Monroe County, Arkansas",229.9,214.32033751998986,0.067767126924794
"Buena Vista County, Iowa",149.1,162.48909544538014,0.08979943289993395
"Swain County, North Carolina",215.3,203.04663410786827,0.05691298602940891
"Pennington County, South Dakota",159.7,165.0549941442614,0.03353158512374084
"Dallas County, Alabama",217.4,219.47844955293954,0.009560485524100881
"Newton County, Mississippi",185.3,191.22633444325535,0.03198237691988852
"Torrance County, New Mexico",164.3,214.02955730965658,0.3026753335949882
"Pawnee County, Kansas",182.5,167.5514726915155,0.0819097386766274
"Stark County, North Dakota",131.8,154.89801983373764,0.1752505298462642
"Bosque County, Texas",190.7,170.69845095661935,0.104884892728792
"Scott County, Arkansas",207.4,188.35307993850694,0.09183664446235809
"New Madrid County, Missouri",229.7,207.61219017501634,0.09615938104041642
"Dimmit County, Texas",148.0,178.27323992711177,0.20454891842643091
"Red River Parish, Louisiana",172.2,200.03919817980022,0.16166781753658674
"Schuyler County, Missouri",208.7,170.23272801692934,0.18431850495002705
"Fayette County, Georgia",140.8,142.45783746899195,0.01177441384227232
"Morgan County, Alabama",184.9,183.0040125333358,0.01025412367043913
"Colbert County, Alabama",190.5,185.9404818225009,0.023934478622042447
"Sherman County, Nebraska",187.4,160.84766075698286,0.14168804291898154
"Clay County, Kansas",169.2,154.54487103580632,0.08661423737703113
"Tattnall County, Georgia",216.4,192.01035952597363,0.11270628684855073
"Maries County, Missouri",187.4,150.3679666009988,0.19760956989861894
"Vermilion County, Illinois",203.1,207.47689769187147,0.021550456385383936
"Roberts County, South Dakota",179.9,169.57560956588867,0.05738960774936818
"Hot Springs County, Wyoming",163.0,165.8894719225091,0.01772682161048529
"Mingo County, West Virginia",240.8,227.50126145903488,0.055227319522280445
"Boone County, Arkansas",198.2,181.3621489453655,0.08495383983165734
"San Benito County, California",150.4,163.47598366350434,0.08694138074138517
"Park County, Colorado",137.9,153.42950638334855,0.11261425948766168
"Randolph County, West Virginia",168.6,181.94121880092487,0.07912941163063392
"Essex County, Vermont",171.3,194.25481459930455,0.13400358785349994
"Santa Rosa County, Florida",190.7,160.80480697343324,0.15676556385194937
"Logan County, West Virginia",240.1,220.37223729849393,0.08216477593296988
"Sumter County, Alabama",216.2,204.30829450139132,0.0550032631758033
"Grady County, Oklahoma",193.7,174.70751768723437,0.09805101865134547
"Buena Vista city, Virginia",240.8,217.92586742661484,0.09499224490608459
"Jackson County, Michigan",193.8,184.76916823779277,0.04659871910323654
"Marshall County, Indiana",163.7,179.19081494140198,0.09462929102872324
"Carroll County, Indiana",166.3,176.43002397397876,0.06091415498483915
"Gibson County, Tennessee",214.7,195.37304576324615,0.09001841749768903
"Cherokee County, Iowa",135.4,170.7061034131504,0.26075408724631016
"Carteret County, North Carolina",191.5,182.18368329053993,0.04864917341754605
"Hancock County, Illinois",170.0,179.4627416413124,0.055663186125367005
"Muhlenberg County, Kentucky",207.1,204.64573387311685,0.011850633157330473
"Midland County, Texas",148.3,154.40009669404907,0.04113349085670301
"Henry County, Alabama",194.1,193.54668727808314,0.002850658021209961
"Bergen County, New Jersey",147.3,150.8914727090476,0.024382027895774563
"Grant County, Minnesota",159.9,157.7030603134388,0.013739460203634734
"White County, Arkansas",201.4,188.7038499209724,0.0630394740766018
"Woods County, Oklahoma",125.3,172.66760695508378,0.37803357506052504
"East Feliciana Parish, Louisiana",212.2,214.13087121354437,0.009099298838569173
"Glades County, Florida",135.3,172.84277083459347,0.2774779810391238
"Swift County, Minnesota",162.3,167.220322942998,0.030316222692532247
"Leon County, Florida",155.8,151.8614710417189,0.025279389976130457
"Butler County, Iowa",156.6,182.83872997915503,0.16755255414530676
"Brevard County, Florida",181.2,180.5186634303985,0.0037601355938271753
"Metcalfe County, Kentucky",218.0,200.3866301139626,0.08079527470659353
"Merrimack County, New Hampshire",173.1,170.83048966519493,0.013110978248440567
"Montgomery County, Tennessee",195.4,172.90745065015122,0.11511028326432336
"Botetourt County, Virginia",148.7,149.32179143717303,0.004181516053618322
"Middlesex County, New Jersey",156.7,158.70862150900894,0.012818261065787791
"Southampton County, Virginia",181.8,164.89658128381478,0.09297810074909366
"Newport County, Rhode Island",164.0,157.77617397549196,0.03795015868602465
"Macon County, Alabama",214.8,195.7651170856617,0.08861677334421932
"Bear Lake County, Idaho",143.2,154.57615253754983,0.07944240598847656
"Luna County, New Mexico",181.8,196.54437945134782,0.08110219720213317
"Monongalia County, West Virginia",155.9,172.79131429163198,0.10834710899058352
"Pierce County, Wisconsin",149.8,127.19310864891195,0.15091382744384554
"Essex County, New Jersey",161.8,171.3233387531321,0.0588587067560698
"Luce County, Michigan",175.3,178.91892233950026,0.020644166226470303
"Warren County, Virginia",202.5,172.14184751560816,0.14991680239205846
"Starr County, Texas",136.5,182.8148491064009,0.33930292385641697
"Hardin County, Texas",190.7,189.56398674872798,0.005957070011914024
"Crittenden County, Kentucky",211.2,194.81241553891675,0.07759272945588654
"Coffee County, Alabama",173.3,169.19563874947704,0.023683561745660532
"York County, Virginia",152.3,134.9903731527667,0.11365480530028442
"Berrien County, Michigan",179.0,183.18676567619983,0.023389752381004617
"Clay County, Texas",167.3,174.22087088624298,0.04136802681555867
"Faulk County, South Dakota",146.6,152.1408008485813,0.03779536731638004
"Lunenburg County, Virginia",189.8,176.71442881385047,0.068943999927026
"Kitsap County, Washington",164.9,172.05759203121556,0.04340565209954856
"Palm Beach County, Florida",144.3,170.05794704491137,0.17850275152398726
"Saline County, Missouri",205.8,176.20946877054777,0.14378295058042875
"Pike County, Ohio",217.9,211.11712644901831,0.031128377930159205
"Pope County, Arkansas",207.1,184.09608508287778,0.1110763636751435
"Prentiss County, Mississippi",203.2,191.7561290233972,0.05631826268013187
"Greene County, Ohio",159.2,161.4421281453745,0.014083719506121372
"Ramsey County, Minnesota",166.5,166.2751169925501,0.0013506486933928166
"Blanco County, Texas",154.0,145.2930338616818,0.05653874115791035
"Grant Parish, Louisiana",222.7,211.79541124786653,0.04896537383086423
"Manassas city, Virginia",155.2,143.30900248647887,0.07661725202011027
"Gregory County, South Dakota",169.4,189.91677671024763,0.12111438435801432
"Kalamazoo County, Michigan",171.0,169.71038159466278,0.007541628101387266
"Gilmer County, West Virginia",209.9,191.95049897375148,0.08551453561814448
"Beltrami County, Minnesota",162.6,172.48416405133025,0.06078821679784908
"Clay County, Minnesota",161.0,150.33715441098377,0.06622885459016291
"Spokane County, Washington",171.0,173.54903210923243,0.014906620521827065
"Dunn County, Wisconsin",155.6,158.67725361510628,0.019776694184487704
"Laurens County, South Carolina",202.6,195.66738631094842,0.03421823143658232
"Dorchester County, Maryland",185.4,188.42617407525802,0.016322406015415385
"Clay County, Nebraska",148.9,174.9732662762475,0.17510588499830418
"New Castle County, Delaware",177.2,175.32799887902488,0.01056434041182344
"Auglaize County, Ohio",189.7,184.4999823308076,0.02741179583127249
"Alcona County, Michigan",177.0,173.47474855516066,0.019916674829600797
"Sevier County, Tennessee",185.2,194.1919790585278,0.04855280269183487
"Kiowa County, Colorado",200.9,152.4081035911868,0.24137330218423694
"Robeson County, North Carolina",193.0,199.8243840342882,0.03535950276833257
"Wilson County, North Carolina",199.1,185.1302560760024,0.07016445968858656
"Laclede County, Missouri",183.2,185.20663924672843,0.010953270997425985
"Crawford County, Iowa",148.6,171.18340329127093,0.15197445014314226
"Washington County, Minnesota",152.1,151.03606964378264,0.006994939883085833
"Richardson County, Nebraska",192.2,176.83827607899542,0.0799257227939884
"Crisp County, Georgia",164.9,193.48975886866214,0.17337634244185646
"Elmore County, Idaho",180.0,181.5858085934753,0.0088100477415294
"Des Moines County, Iowa",170.1,188.7063176749294,0.10938458362686311
"Stewart County, Tennessee",230.1,204.66160858448936,0.1105536350087381
"Santa Fe County, New Mexico",126.1,146.69196419587755,0.1632986851378077
"Quitman County, Mississippi",254.5,213.38615322979888,0.1615475315135604
"James City County, Virginia",149.0,143.46638914213747,0.03713832790511763
"Caldwell Parish, Louisiana",200.1,209.13454839615562,0.04515016689732948
"Divide County, North Dakota",93.8,126.04690677791457,0.34378365434876945
"Dunklin County, Missouri",230.0,200.89087568306297,0.12656141007363925
"Fremont County, Wyoming",169.0,169.58070616814973,0.0034361311724836192
"Lee County, Georgia",192.8,182.18317505500022,0.05506651942427278
"St. Landry Parish, Louisiana",217.8,224.10336412361417,0.028941065764986954
"Madison County, Illinois",189.2,185.2694344363168,0.020774659427500997
"Tallapoosa County, Alabama",200.5,184.52591990394717,0.07967122242420364
"Catoosa County, Georgia",161.0,169.48544110555534,0.05270460314009527
"Martin County, Texas",153.2,151.39139287303112,0.011805529549405131
"Deschutes County, Oregon",154.3,168.5242740341657,0.09218583301468365
"Broome County, New York",163.6,186.9177479277339,0.1425290215631657
"Franklin County, Arkansas",201.6,185.66539190733394,0.07904071474536734
"Dawson County, Texas",165.4,178.04414329050644,0.0764458481892771
"Kemper County, Mississippi",171.0,194.80932274031522,0.13923580549891945
"Sherman County, Kansas",161.6,172.06379058569115,0.06475117936690072
"Mackinac County, Michigan",160.3,179.4108793828132,0.11921945965572789
"Benton County, Indiana",173.4,179.75699458203871,0.03666086840852773
"Lee County, Illinois",194.2,183.94790711459194,0.052791415475839584
"Latah County, Idaho",148.9,144.3934130948293,0.03026586235843322
"Baker County, Florida",206.1,197.95061201938162,0.03954094119659569
"Penobscot County, Maine",187.5,186.9674824370769,0.0028400936689231457
"Wayne County, Missouri",240.5,205.4299904763279,0.145821245420674
"DeKalb County, Alabama",170.6,174.14929545854653,0.020804779944586977
"Saunders County, Nebraska",176.2,157.39735300731272,0.10671195796076773
"Union County, Indiana",192.3,193.6335915872213,0.0069349536516967875
"Parmer County, Texas",142.1,161.64817707631872,0.13756634114228516
"McDowell County, West Virginia",234.8,227.8533906903864,0.02958521852475988
"Gallatin County, Kentucky",234.4,217.91680996285544,0.07032077660897852
"Lee County, Arkansas",217.6,196.5272077769978,0.0968418760248262
"Coryell County, Texas",184.5,174.54601469593442,0.053951139859434054
"Medina County, Texas",155.6,146.8239549883557,0.05640131755555463
