Geography,Actual,Predict,Deviation
"Linn County, Oregon",0.418343780930386,0.4160145166611678,0.00556782334384887
"Champaign County, Illinois",0.3061695809963708,0.34020125371164617,0.11115301724137888
"Saratoga County, New York",0.3777631144836687,0.3408017156054109,0.0978427947598249
"Montmorency County, Michigan",0.487957769712966,0.4529693170570767,0.07170385395537555
"Barrow County, Georgia",0.4364896073903003,0.39340481689211465,0.09870748299319779
"Campbell County, Wyoming",0.5153414714615638,0.34670735730781943,0.3272279129321378
"Big Stone County, Minnesota",0.3903002309468822,0.32714945562520603,0.16180050718512298
"Santa Cruz County, California",0.2827449686572089,0.3293863411415375,0.16495915985997658
"Hays County, Texas",0.2962718574727813,0.28933355328274496,0.023418708240534637
"Richland County, South Carolina",0.4127350709336853,0.36838997030682963,0.10744204636290924
"Summit County, Utah",0.2108215110524579,0.2711250412405148,0.28604068857590065
"Quay County, New Mexico",0.4318706697459584,0.4630221049158694,0.07213139801375122
"Benewah County, Idaho",0.5361266908611019,0.4407918178818875,0.17782153846153775
"Sullivan County, New York",0.3929396238865061,0.4061530847904981,0.033627204030226496
"Oklahoma County, Oklahoma",0.417024084460574,0.37163642362256694,0.10883702531645521
"Murray County, Georgia",0.4760805014846585,0.43434839986803014,0.0876576576576581
"Hopkins County, Kentucky",0.4519960409105905,0.45719564500164966,0.011503649635036781
"Jerome County, Idaho",0.2900032992411745,0.3470372814252722,0.1966666666666667
"Marlboro County, South Carolina",0.5654899373144177,0.5351798086440116,0.05359976662777174
"Howard County, Iowa",0.350049488617618,0.4045694490267238,0.1557492931196982
"Laurens County, Georgia",0.3629165291982843,0.4565291982843947,0.2579454545454551
"Gasconade County, Missouri",0.3995381062355658,0.43123061695809967,0.07932287365813392
"Cole County, Missouri",0.3592873639063015,0.37402177499175193,0.04101010101010124
"Calhoun County, Georgia",0.3401517650940284,0.48474430880897396,0.42508244422890396
"Somerset County, Maryland",0.5173210161662818,0.4949653579676674,0.04321428571428587
"Northumberland County, Pennsylvania",0.3886506103596173,0.4166347740019796,0.07200339558573875
"Dodge County, Nebraska",0.3899703068294292,0.37806664467172546,0.03052453468697122
"Greene County, Missouri",0.3757835697789508,0.3836852523919497,0.021027216856891854
"Monroe County, Arkansas",0.5615308479049819,0.540092378752887,0.0381786133960045
"Buena Vista County, Iowa",0.2949521610029693,0.3541372484328603,0.20065995525727043
"Swain County, North Carolina",0.513361926756846,0.46343451006268566,0.09725578406169665
"Pennington County, South Dakota",0.3299241174529858,0.35614648630814927,0.07948000000000055
"Dallas County, Alabama",0.5202903332233586,0.5489937314417683,0.055168040583386105
"Newton County, Mississippi",0.4143846915209502,0.42034971956450023,0.014394904458598852
"Torrance County, New Mexico",0.3451006268558232,0.5643780930386011,0.6354015296367109
"Pawnee County, Kansas",0.4051468162322665,0.3551963048498845,0.12328990228013016
"Stark County, North Dakota",0.2378752886836027,0.32065324975255693,0.34798890429958446
"Bosque County, Texas",0.4322005938634113,0.3702705377763115,0.14329007633587748
"Scott County, Arkansas",0.48729792147806,0.4585714285714284,0.0589505754908601
"New Madrid County, Missouri",0.5608709996700758,0.47257340811613313,0.15742941176470607
"Dimmit County, Texas",0.2913229957109864,0.3085978225008246,0.059297848244620206
"Red River Parish, Louisiana",0.371164632134609,0.45777301220719235,0.23334222222222242
"Schuyler County, Missouri",0.4915869350049489,0.4100065984823489,0.16595302013422858
"Fayette County, Georgia",0.2675684592543715,0.32390960079181774,0.21056720098643594
"Morgan County, Alabama",0.4130649950511382,0.3993236555592212,0.03326677316293957
"Colbert County, Alabama",0.4315407456285054,0.4142428241504455,0.04008409785932692
"Sherman County, Nebraska",0.4213130979874628,0.34923127680633465,0.17108848864526194
"Clay County, Kansas",0.3612669086110194,0.3157439788848564,0.12600913242009143
