Geography,Actual,Predict,Deviation
"Linn County, Oregon",0.418343780930386,0.41919168591224026,0.0020268138801264254
"Champaign County, Illinois",0.3061695809963708,0.3353447707027384,0.09529094827586218
"Saratoga County, New York",0.3777631144836687,0.3368888155724183,0.1082008733624455
"Montmorency County, Michigan",0.487957769712966,0.4650082481029365,0.0470317782285324
"Barrow County, Georgia",0.4364896073903003,0.4082316067304521,0.06473922902494318
"Campbell County, Wyoming",0.5153414714615638,0.3321972946222369,0.35538412291933413
"Big Stone County, Minnesota",0.3903002309468822,0.31283734741009583,0.19846999154691422
"Santa Cruz County, California",0.2827449686572089,0.33251402177499195,0.17602100350058397
"Hays County, Texas",0.2962718574727813,0.2927109000190165,0.012019222764321876
"Richland County, South Carolina",0.4127350709336853,0.37813922797756533,0.08382094324540332
"Summit County, Utah",0.2108215110524579,0.26102276476410413,0.2381220657276992
"Quay County, New Mexico",0.4318706697459584,0.4446189376443418,0.029518716577540183
"Benewah County, Idaho",0.5361266908611019,0.44538766083800724,0.1692492307692307
"Sullivan County, New York",0.3929396238865061,0.40164962058726483,0.022166246851385137
"Oklahoma County, Oklahoma",0.417024084460574,0.37811943253051816,0.09329113924050571
"Murray County, Georgia",0.4760805014846585,0.43142527218739685,0.0937976437976439
"Hopkins County, Kentucky",0.4519960409105905,0.4544209831738699,0.0053649635036496215
"Jerome County, Idaho",0.2900032992411745,0.37022764764104255,0.2766325369738339
"Marlboro County, South Carolina",0.5654899373144177,0.5339063015506434,0.05585180863477225
"Howard County, Iowa",0.350049488617618,0.40646651270207845,0.16116870876531544
"Laurens County, Georgia",0.3629165291982843,0.4512108215110524,0.2432909090909092
"Gasconade County, Missouri",0.3995381062355658,0.42641372484328605,0.06726672171758885
"Cole County, Missouri",0.3592873639063015,0.36961398878257995,0.028741965105601442
"Calhoun County, Georgia",0.3401517650940284,0.4752886836027715,0.39728419010669286
"Somerset County, Maryland",0.5173210161662818,0.5118904651930054,0.010497448979592292
"Northumberland County, Pennsylvania",0.3886506103596173,0.40506433520290336,0.04223259762309005
"Dodge County, Nebraska",0.3899703068294292,0.37550973276146477,0.0370812182741118
"Greene County, Missouri",0.3757835697789508,0.38128340481689205,0.01463564530289727
"Monroe County, Arkansas",0.5615308479049819,0.5400659848234907,0.038225616921268996
"Buena Vista County, Iowa",0.2949521610029693,0.3501022764764104,0.18697986577181214
"Swain County, North Carolina",0.513361926756846,0.46616298251402155,0.09194087403599029
"Pennington County, South Dakota",0.3299241174529858,0.3524447377103266,0.06825999999999999
"Dallas County, Alabama",0.5202903332233586,0.5416793137578357,0.04110970196575789
"Newton County, Mississippi",0.4143846915209502,0.41851534147146163,0.00996815286624216
"Torrance County, New Mexico",0.3451006268558232,0.5780435499835038,0.6749999999999998
"Pawnee County, Kansas",0.4051468162322665,0.34922137908281103,0.13803745928338726
"Stark County, North Dakota",0.2378752886836027,0.322632794457275,0.35631067961165164
