Geography,Actual,Predict,Deviation
"Linn County, Oregon",186.5,188.13,0.008739946380697026
"Champaign County, Illinois",152.5,164.64200000000005,0.07961967213114789
"Saratoga County, New York",174.2,163.533,0.061234213547646396
"Montmorency County, Michigan",207.6,196.365,0.05411849710982652
"Barrow County, Georgia",192.0,182.121,0.051453124999999954
"Campbell County, Wyoming",215.9,163.34900000000005,0.24340435386753106
"Big Stone County, Minnesota",178.0,157.82499999999996,0.1133426966292137
"Santa Cruz County, California",145.4,155.56699999999995,0.06992434662998587
"Hays County, Texas",149.5,148.54499999999996,0.006387959866221009
"Richland County, South Carolina",184.8,174.99899999999997,0.053035714285714526
"Summit County, Utah",123.6,142.27000000000007,0.1510517799352757
"Quay County, New Mexico",190.6,198.6669999999999,0.042324239244490525
"Benewah County, Idaho",222.2,194.53200000000007,0.12451845184518417
"Sullivan County, New York",178.8,181.89600000000002,0.01731543624161076
"Oklahoma County, Oklahoma",186.1,172.80200000000002,0.07145620634067691
"Murray County, Georgia",204.0,188.19500000000005,0.07747549019607819
"Hopkins County, Kentucky",196.7,199.25699999999995,0.01299949161159105
"Jerome County, Idaho",147.6,166.95500000000004,0.13113143631436347
"Marlboro County, South Carolina",231.1,224.05299999999997,0.0304932929467764
"Howard County, Iowa",165.8,185.24900000000005,0.11730398069963835
"Laurens County, Georgia",169.7,197.7,0.16499705362404243
"Gasconade County, Missouri",180.8,188.82600000000005,0.044391592920354196
"Cole County, Missouri",168.6,173.5380000000001,0.029288256227758613
"Calhoun County, Georgia",162.8,208.253,0.2791953316953315
"Somerset County, Maryland",216.5,213.08900000000006,0.015755196304849627
"Northumberland County, Pennsylvania",177.5,184.62,0.04011267605633805
"Dodge County, Nebraska",177.9,174.5139999999999,0.019033164699269866
"Greene County, Missouri",173.6,176.291,0.015501152073732734
"Monroe County, Arkansas",229.9,223.69400000000007,0.026994345367550812
"Buena Vista County, Iowa",149.1,161.04800000000003,0.08013413816230743
"Swain County, North Carolina",215.3,203.14099999999996,0.05647468648397607
"Pennington County, South Dakota",159.7,169.32899999999998,0.06029430181590477
"Dallas County, Alabama",217.4,224.65299999999996,0.03336246550137975
"Newton County, Mississippi",185.3,186.484,0.006389638424176996
"Torrance County, New Mexico",164.3,224.1560000000001,0.3643091905051739
"Pawnee County, Kansas",182.5,164.04100000000003,0.10114520547945191
