Geography,Actual,Predict,Deviation
"Linn County, Oregon",0.418343780930386,0.4006522023329903,0.04228956997532042
"Champaign County, Illinois",0.3061695809963708,0.34187579697355935,0.11662234981342506
"Saratoga County, New York",0.3777631144836687,0.34491750277107214,0.08694764113613998
"Montmorency County, Michigan",0.487957769712966,0.41508453508697135,0.14934332261757255
"Barrow County, Georgia",0.4364896073903003,0.40184640483477524,0.0793677603520759
"Campbell County, Wyoming",0.5153414714615638,0.35916255228140626,0.30305909349235444
"Big Stone County, Minnesota",0.3903002309468822,0.34277595347565265,0.12176338547362367
"Santa Cruz County, California",0.2827449686572089,0.3194348837436281,0.1297632819450836
"Hays County, Texas",0.2962718574727813,0.2822071660958919,0.04747224895696178
"Richland County, South Carolina",0.4127350709336853,0.37136490150780777,0.10023419946429635
"Summit County, Utah",0.2108215110524579,0.2637881615912465,0.2512393079547236
"Quay County, New Mexico",0.4318706697459584,0.4459805258141565,0.03267148490657633
"Benewah County, Idaho",0.5361266908611019,0.45058104644836333,0.1595623681323142
"Sullivan County, New York",0.3929396238865061,0.4035694923292627,0.027052167296385595
"Oklahoma County, Oklahoma",0.417024084460574,0.36062816973457623,0.13523419108742027
"Murray County, Georgia",0.4760805014846585,0.4141537654576351,0.13007618634643658
"Hopkins County, Kentucky",0.4519960409105905,0.4355877534003583,0.036301839009863994
"Jerome County, Idaho",0.2900032992411745,0.37902123336090937,0.3069549013844327
"Marlboro County, South Carolina",0.5654899373144177,0.5080541510854473,0.1015681843990719
"Howard County, Iowa",0.350049488617618,0.39087675829837104,0.11663285052060558
"Laurens County, Georgia",0.3629165291982843,0.4738307521984006,0.30561909992122954
"Gasconade County, Missouri",0.3995381062355658,0.41382782567402315,0.035765598363306575
"Cole County, Missouri",0.3592873639063015,0.3412097642337718,0.050315155746039966
"Calhoun County, Georgia",0.3401517650940284,0.478407280009445,0.4064524400665642
"Somerset County, Maryland",0.5173210161662818,0.49522056367321904,0.042720963970965045
"Northumberland County, Pennsylvania",0.3886506103596173,0.4650514272353265,0.1965796909594861
"Dodge County, Nebraska",0.3899703068294292,0.3811375557224251,0.022649804234627268
"Greene County, Missouri",0.3757835697789508,0.3642216892946211,0.030767392228273217
"Monroe County, Arkansas",0.5615308479049819,0.48448890402528766,0.1371998424790559
"Buena Vista County, Iowa",0.2949521610029693,0.34545900206361324,0.1712373996138835
"Swain County, North Carolina",0.513361926756846,0.43500866691118817,0.15262771888958152
"Pennington County, South Dakota",0.3299241174529858,0.34941012974850605,0.05906210326772195
"Dallas County, Alabama",0.5202903332233586,0.49750887948435063,0.04378604076279846
"Newton County, Mississippi",0.4143846915209502,0.42828678780719126,0.0335487689837553
"Torrance County, New Mexico",0.3451006268558232,0.4507423692791341,0.30611866279641986
"Pawnee County, Kansas",0.4051468162322665,0.3605392877929556,0.11010213249149141
"Stark County, North Dakota",0.2378752886836027,0.31044091937838764,0.3050574571926397
"Bosque County, Texas",0.4322005938634113,0.3552183964207318,0.17811682477004712
"Scott County, Arkansas",0.48729792147806,0.47064262151412445,0.0341788857079815
"New Madrid County, Missouri",0.5608709996700758,0.4717543161098117,0.1588898046300944
"Dimmit County, Texas",0.2913229957109864,0.41375069664257186,0.4202472950437549
"Red River Parish, Louisiana",0.371164632134609,0.45988066950264894,0.23902071934447036
"Schuyler County, Missouri",0.4915869350049489,0.4172425874399304,0.15123336742924223
"Fayette County, Georgia",0.2675684592543715,0.29693712317898774,0.10976130746672232
"Morgan County, Alabama",0.4130649950511382,0.39381809801848194,0.04659532340733315
"Colbert County, Alabama",0.4315407456285054,0.40159965587941787,0.06938183717850487
"Sherman County, Nebraska",0.4213130979874628,0.33749116492900505,0.1989540165232463
"Clay County, Kansas",0.3612669086110194,0.326841978503294,0.09528946406987737
"Tattnall County, Georgia",0.5169910920488288,0.4343669215194868,0.15981739685669144
"Maries County, Missouri",0.4213130979874628,0.36697560501635346,0.12897176287817733
"Vermilion County, Illinois",0.4731111844275816,0.4717505530882076,0.0028759230053295097
"Roberts County, South Dakota",0.3965687891784889,0.38310175352817705,0.03395888939774983
"Hot Springs County, Wyoming",0.3408116133289344,0.34803414881887945,0.02119216366894818
"Mingo County, West Virginia",0.5974925767073573,0.5480090481162563,0.082818650005316
"Boone County, Arkansas",0.4569449026723853,0.40407917030339885,0.11569388794974582
"San Benito County, California",0.2992411745298581,0.37001908973989023,0.23652465380552085
"Park County, Colorado",0.2580006598482349,0.3078011788144661,0.19302477364021337
"Randolph County, West Virginia",0.3592873639063015,0.41758066936097443,0.16224702372186747
"Essex County, Vermont",0.3681953150775322,0.45044488458152626,0.22338570355430634
"Santa Rosa County, Florida",0.4322005938634113,0.33848441805995255,0.21683490752693402
"Logan County, West Virginia",0.5951831078851864,0.48762661802858326,0.18071159687104435
"Sumter County, Alabama",0.5163312438139228,0.4648230234862165,0.0997580931714235
"Grady County, Oklahoma",0.442098317387001,0.37274710383534115,0.15686830468289628
"Buena Vista city, Virginia",0.5974925767073573,0.4966747984687921,0.16873477959198854
"Jackson County, Michigan",0.442428241504454,0.4048314180886566,0.08497835329849508
"Marshall County, Indiana",0.3431210821511052,0.3768750185087904,0.09837325105783062
"Carroll County, Indiana",0.3516991092048829,0.3813223715828793,0.08422899462261452
"Gibson County, Tennessee",0.5113823820521279,0.4406073281009634,0.13839947646837397
"Cherokee County, Iowa",0.2497525569119102,0.35684506965133606,0.42879445985891657
"Carteret County, North Carolina",0.4348399868030352,0.3810918913974576,0.12360430741601351
"Hancock County, Illinois",0.3639063015506434,0.37346611656731693,0.026269990313270576
"Muhlenberg County, Kentucky",0.4863081491257011,0.44724738047013407,0.08032102428427654
"Midland County, Texas",0.2923127680633455,0.3090871914188915,0.05738518870277649
"Henry County, Alabama",0.4434180138568129,0.4251548961478258,0.04118713524995526
"Bergen County, New Jersey",0.2890135268888155,0.29915349101101096,0.03508473887485673
"Grant County, Minnesota",0.3305839656878918,0.3421806901993637,0.03507951296833473
"White County, Arkansas",0.4675024744308809,0.4096368855826072,0.12377600550396442
"Woods County, Oklahoma",0.2164302210491586,0.35676604419202795,0.648411402356764
"East Feliciana Parish, Louisiana",0.5031342791158033,0.48523068908350225,0.03558411894288824
"Glades County, Florida",0.2494226327944572,0.3863828325743042,0.5491089491173499
"Swift County, Minnesota",0.3385021445067635,0.37561426509770124,0.10963629387049921
"Leon County, Florida",0.3170570768723194,0.3212952908919509,0.013367353479191662
"Butler County, Iowa",0.3196964698119432,0.38226276916706137,0.19570531820986908
"Brevard County, Florida",0.4008578027053777,0.36803001389473705,0.08189385011115373
"Metcalfe County, Kentucky",0.5222698779280766,0.4672145137514493,0.10541554568500142
"Merrimack County, New Hampshire",0.3741339491916858,0.3624213829761771,0.03130580969947697
"Montgomery County, Tennessee",0.4477070273837018,0.3890063870324845,0.13111395792523184
"Botetourt County, Virginia",0.2936324645331573,0.33371577897685345,0.13650845626836308
"Middlesex County, New Jersey",0.3200263939293962,0.3260708598545169,0.018887398163959637
"Southampton County, Virginia",0.4028373474100957,0.37720579637298496,0.06362754397500625
"Newport County, Rhode Island",0.3441108545034642,0.3229235777332686,0.06157107947311878
"Macon County, Alabama",0.5117123061695811,0.4492978667232431,0.12197173820880097
"Bear Lake County, Idaho",0.2754866380732431,0.3360233760189351,0.21974473378849413
"Luna County, New Mexico",0.4028373474100957,0.47256924656891963,0.1731018725228463
"Monongalia County, West Virginia",0.3173870009897723,0.37064156359572015,0.16779062292996672
"Pierce County, Wisconsin",0.2972616298251402,0.29221998597688364,0.016960291347464636
"Essex County, New Jersey",0.3368525239194986,0.3733149345666982,0.10824443356675992
"Luce County, Michigan",0.3813922797756516,0.4330354710813414,0.13540701803420913
"Warren County, Virginia",0.4711316397228637,0.3666921160053981,0.22167800867481674
"Starr County, Texas",0.2533817222038931,0.4313183372323288,0.7022472397801935
"Hardin County, Texas",0.4322005938634113,0.39586531023939336,0.08407041577434994
"Crittenden County, Kentucky",0.4998350379412735,0.41263043885647194,0.17446675896107822
"Coffee County, Alabama",0.3747937974265919,0.36835992571196635,0.017166430604779993
"York County, Virginia",0.3055097327614648,0.2765447813360122,0.0948086045038304
"Berrien County, Michigan",0.3935994721214121,0.3910015511087938,0.0066004179289573025
"Clay County, Texas",0.3549983503794127,0.36822083851515536,0.03724661853107439
"Faulk County, South Dakota",0.2867040580666447,0.3596901586482492,0.25456947164884164
"Lunenburg County, Virginia",0.4292312768063345,0.3976077092339329,0.07367489109296635
"Kitsap County, Washington",0.347080171560541,0.36501392738453275,0.05167035542064547
"Palm Beach County, Florida",0.279115803365226,0.3282704312508989,0.1761083653918138
"Saline County, Missouri",0.4820191355988122,0.4060414638694034,0.1576237666063232
"Pike County, Ohio",0.5219399538106236,0.4664749258466158,0.10626706685139549
"Pope County, Arkansas",0.4863081491257011,0.4096395868159372,0.15765428247007757
"Prentiss County, Mississippi",0.4734411085450346,0.4397614077111915,0.0711380998100198
"Greene County, Ohio",0.3282744968657208,0.3282694565967804,1.535382427969534e-05
"Ramsey County, Minnesota",0.3523589574397888,0.336920870743204,0.04381352132710539
"Blanco County, Texas",0.3111184427581656,0.28937198780719897,0.06989767227611857
"Grant Parish, Louisiana",0.5377763114483668,0.47113239916830124,0.12392496817231824
"Manassas city, Virginia",0.3150775321676013,0.2992868176983131,0.05011691681299745
"Gregory County, South Dakota",0.3619267568459254,0.4409256532776306,0.21827315869142982
"Kalamazoo County, Michigan",0.3672055427251732,0.3505989534845709,0.04522423359233211
"Gilmer County, West Virginia",0.4955460244143846,0.4693584013710369,0.05284599563541073
"Beltrami County, Minnesota",0.3394919168591224,0.3868383210564536,0.1394625375336355
"Clay County, Minnesota",0.3342131309798746,0.3185760960689932,0.04678761383502625
"Spokane County, Washington",0.3672055427251732,0.356082385597119,0.030291365009103503
"Dunn County, Wisconsin",0.3163972286374134,0.3465500504575397,0.09530052443879351
"Laurens County, South Carolina",0.4714615638403167,0.4358357567682856,0.07556460548308337
"Dorchester County, Maryland",0.4147146156384032,0.42811543005628555,0.03231334009594391
"Clay County, Nebraska",0.2942923127680633,0.3592297432227378,0.2206562238880253
"New Castle County, Delaware",0.3876608380072582,0.3804219448530992,0.018673263957664592
"Auglaize County, Ohio",0.4289013526888815,0.39287405814513776,0.08399902289391334
"Alcona County, Michigan",0.3870009897723524,0.39619718600649095,0.023762720192390355
"Sevier County, Tennessee",0.4140547674034971,0.4177899540934234,0.009020996698937505
"Kiowa County, Colorado",0.4658528538436159,0.32362185662342174,0.30531313921700326
"Robeson County, North Carolina",0.4397888485648301,0.47519361432208207,0.08050400976011311
"Wilson County, North Carolina",0.4599142197294622,0.40689470766192976,0.11528130636778401
"Laclede County, Missouri",0.4074562850544374,0.43061913900462373,0.05684745775142904
"Crawford County, Iowa",0.2933025404157043,0.36841414670604916,0.2560891773521207
"Washington County, Minnesota",0.3048498845265589,0.30374732862883813,0.0036167174523719903
