Geography,Actual,Predict,Deviation
"Linn County, Oregon",0.418343780930386,0.4272170256791808,0.021210413906622285
"Champaign County, Illinois",0.3061695809963708,0.3582056610908562,0.1699583607396393
"Saratoga County, New York",0.3777631144836687,0.3494483628620429,0.07495372241497633
"Montmorency County, Michigan",0.487957769712966,0.44436482719989684,0.08933753127593823
"Barrow County, Georgia",0.4364896073903003,0.41793904296143186,0.04249944125767212
"Campbell County, Wyoming",0.5153414714615638,0.36137143111496034,0.2987728503780763
"Big Stone County, Minnesota",0.3903002309468822,0.3585091767214906,0.08145281940588509
"Santa Cruz County, California",0.2827449686572089,0.3115147149209441,0.10175157634233548
"Hays County, Texas",0.2962718574727813,0.28275257274818705,0.04563134966619725
"Richland County, South Carolina",0.4127350709336853,0.3518770793456976,0.14745049760446888
"Summit County, Utah",0.2108215110524579,0.24798830774319974,0.1762950872764297
"Quay County, New Mexico",0.4318706697459584,0.432648062438966,0.0018000590164293248
"Benewah County, Idaho",0.5361266908611019,0.470374619115507,0.12264278736055269
"Sullivan County, New York",0.3929396238865061,0.41524543734655334,0.056766516034763355
"Oklahoma County, Oklahoma",0.417024084460574,0.36644415533562663,0.12128778890642046
"Murray County, Georgia",0.4760805014846585,0.44881875791393183,0.0572628861835569
"Hopkins County, Kentucky",0.4519960409105905,0.4600076807991585,0.017725022264415802
"Jerome County, Idaho",0.2900032992411745,0.40531123051861956,0.3976090326529419
"Marlboro County, South Carolina",0.5654899373144177,0.5214149627385298,0.07794121816774563
"Howard County, Iowa",0.350049488617618,0.40788968340723436,0.1652343359164253
"Laurens County, Georgia",0.3629165291982843,0.46642252091903297,0.28520605536871746
"Gasconade County, Missouri",0.3995381062355658,0.43050363257931107,0.07750331160024107
"Cole County, Missouri",0.3592873639063015,0.35592267318630905,0.009364901351971664
"Calhoun County, Georgia",0.3401517650940284,0.5163068894128382,0.5178721453058317
"Somerset County, Maryland",0.5173210161662818,0.4788067755112185,0.0744494026948322
"Northumberland County, Pennsylvania",0.3886506103596173,0.46722119458624617,0.202162513404849
"Dodge County, Nebraska",0.3899703068294292,0.402740711869972,0.03274712155489452
"Greene County, Missouri",0.3757835697789508,0.3603943506899144,0.040952346847119694
"Monroe County, Arkansas",0.5615308479049819,0.5191540958961354,0.07546647199695283
"Buena Vista County, Iowa",0.2949521610029693,0.35368074622816176,0.19911223916952842
"Swain County, North Carolina",0.513361926756846,0.4635274911873904,0.09707466208934441
"Pennington County, South Dakota",0.3299241174529858,0.35214619467361535,0.06735511605572826
"Dallas County, Alabama",0.5202903332233586,0.5231673837205015,0.005529702001801028
"Newton County, Mississippi",0.4143846915209502,0.42348535693511874,0.021961876489128063
"Torrance County, New Mexico",0.3451006268558232,0.5180848100006288,0.5012572266844222
"Pawnee County, Kansas",0.4051468162322665,0.38118884699077255,0.059134042973101146
"Stark County, North Dakota",0.2378752886836027,0.31194464046964404,0.3113789254694749
"Bosque County, Texas",0.4322005938634113,0.36576332229324665,0.1537186031520375
"Scott County, Arkansas",0.48729792147806,0.43138895455092824,0.11473261933387705
"New Madrid County, Missouri",0.5608709996700758,0.4779888710442322,0.14777395992054823
"Dimmit County, Texas",0.2913229957109864,0.3967219912040552,0.3617942869076915
"Red River Parish, Louisiana",0.371164632134609,0.46453388874623297,0.25155752603540654
"Schuyler County, Missouri",0.4915869350049489,0.37193870478789043,0.24339180254221754
"Fayette County, Georgia",0.2675684592543715,0.2682193031416818,0.0024324387452990107
"Morgan County, Alabama",0.4130649950511382,0.40328095622649723,0.023686439039526164
"Colbert County, Alabama",0.4315407456285054,0.4107726485698549,0.04812546038590956
"Sherman County, Nebraska",0.4213130979874628,0.3350384980205768,0.20477549921662613
"Clay County, Kansas",0.3612669086110194,0.33024594371271526,0.08586716402443823
"Tattnall County, Georgia",0.5169910920488288,0.451332293309938,0.12700179896463168
"Maries County, Missouri",0.4213130979874628,0.31467161706783436,0.2531169370927125
"Vermilion County, Illinois",0.4731111844275816,0.4879486332460426,0.031361441679745666
"Roberts County, South Dakota",0.3965687891784889,0.360737650822558,0.0903528954715696
"Hot Springs County, Wyoming",0.3408116133289344,0.36923205822721356,0.08339048256213372
"Mingo County, West Virginia",0.5974925767073573,0.5485807874811406,0.08186175215055934
"Boone County, Arkansas",0.4569449026723853,0.40386857410283966,0.11615476671068076
"San Benito County, California",0.2992411745298581,0.3517805729836266,0.175575431878029
"Park County, Colorado",0.2580006598482349,0.2952065942845766,0.1442086793817796
"Randolph County, West Virginia",0.3592873639063015,0.40357064669832227,0.1232531038958815
"Essex County, Vermont",0.3681953150775322,0.4483601780173952,0.2177237451350579
"Santa Rosa County, Florida",0.4322005938634113,0.3368316188869494,0.22065905584248557
"Logan County, West Virginia",0.5951831078851864,0.5233292918766854,0.12072556337126739
"Sumter County, Alabama",0.5163312438139228,0.47652616749668836,0.07709213183229241
"Grady County, Oklahoma",0.442098317387001,0.3773310585568846,0.14649967277170362
"Buena Vista city, Virginia",0.5974925767073573,0.5253752497776123,0.12069995467921436
"Jackson County, Michigan",0.442428241504454,0.4136148455498901,0.0651255802671761
"Marshall County, Indiana",0.3431210821511052,0.3973251090409758,0.15797346682999783
"Carroll County, Indiana",0.3516991092048829,0.38049849760393567,0.0818864411233855
"Gibson County, Tennessee",0.5113823820521279,0.4416449302989665,0.13637046210569828
"Cherokee County, Iowa",0.2497525569119102,0.36790095714254495,0.47306182443732364
"Carteret County, North Carolina",0.4348399868030352,0.40645035003105484,0.06528754860081373
"Hancock County, Illinois",0.3639063015506434,0.39588326116090805,0.08787140940953048
"Muhlenberg County, Kentucky",0.4863081491257011,0.47205790654399543,0.02930290723551549
"Midland County, Texas",0.2923127680633455,0.30461900786524115,0.04209956302431798
"Henry County, Alabama",0.4434180138568129,0.43378155074058583,0.021732231923574586
"Bergen County, New Jersey",0.2890135268888155,0.2891340064552677,0.00041686480127476537
"Grant County, Minnesota",0.3305839656878918,0.3491402806738169,0.05613192686860189
"White County, Arkansas",0.4675024744308809,0.4270398347099143,0.0865506429034931
"Woods County, Oklahoma",0.2164302210491586,0.3733632218922152,0.7250974474928427
"East Feliciana Parish, Louisiana",0.5031342791158033,0.5103654218041105,0.014372192451317373
"Glades County, Florida",0.2494226327944572,0.3941556925239627,0.5802723598414435
"Swift County, Minnesota",0.3385021445067635,0.3776557662712788,0.1156672783316235
"Leon County, Florida",0.3170570768723194,0.29830623039990917,0.05914028684482346
"Butler County, Iowa",0.3196964698119432,0.39338255422665963,0.23048763865944838
"Brevard County, Florida",0.4008578027053777,0.3730328822097882,0.06941344363961462
"Metcalfe County, Kentucky",0.5222698779280766,0.47287246917967624,0.09458215155805519
"Merrimack County, New Hampshire",0.3741339491916858,0.364890480343632,0.02470630871115622
"Montgomery County, Tennessee",0.4477070273837018,0.3816510186624225,0.1475429347341176
"Botetourt County, Virginia",0.2936324645331573,0.2914720785524217,0.007357449334392784
"Middlesex County, New Jersey",0.3200263939293962,0.3302454581348751,0.031931941862687205
"Southampton County, Virginia",0.4028373474100957,0.34966517452063967,0.13199414908103294
"Newport County, Rhode Island",0.3441108545034642,0.3166077618433523,0.07992509477737206
"Macon County, Alabama",0.5117123061695811,0.4450248000922455,0.1303222636495191
"Bear Lake County, Idaho",0.2754866380732431,0.32114023004220776,0.16571980509931974
"Luna County, New Mexico",0.4028373474100957,0.46474112649995863,0.15366941394051972
"Monongalia County, West Virginia",0.3173870009897723,0.37194285918182773,0.17189065091488573
"Pierce County, Wisconsin",0.2972616298251402,0.22630719093939927,0.23869356743915734
"Essex County, New Jersey",0.3368525239194986,0.36102986312743873,0.07177425576813566
"Luce County, Michigan",0.3813922797756516,0.4031185504527542,0.05696568029610549
"Warren County, Virginia",0.4711316397228637,0.36567722298613653,0.2238321688578572
"Starr County, Texas",0.2533817222038931,0.42455628434471976,0.6755600232406844
"Hardin County, Texas",0.4322005938634113,0.4184531049969778,0.03180812118638166
"Crittenden County, Kentucky",0.4998350379412735,0.4283431152123783,0.1430310348457303
"Coffee County, Alabama",0.3747937974265919,0.3653882789000576,0.025095181913666827
"York County, Virginia",0.3055097327614648,0.2437693116438276,0.20208986653084066
"Berrien County, Michigan",0.3935994721214121,0.4015477476706542,0.02019381658822532
"Clay County, Texas",0.3549983503794127,0.37875368787091285,0.06691675458804554
"Faulk County, South Dakota",0.2867040580666447,0.3290574880686022,0.14772525470187944
"Lunenburg County, Virginia",0.4292312768063345,0.38344524524864815,0.1066698398549941
"Kitsap County, Washington",0.347080171560541,0.3733055089278175,0.07555988361237176
"Palm Beach County, Florida",0.279115803365226,0.3186225951028257,0.14154265455870527
"Saline County, Missouri",0.4820191355988122,0.39421917197529727,0.18215036943386298
"Pike County, Ohio",0.5219399538106236,0.4991861646991654,0.04359464904982931
"Pope County, Arkansas",0.4863081491257011,0.41518065338611315,0.14626013540481073
