Geography,Actual,Predict,Deviation
"Linn County, Oregon",186.5,178.94133346279585,0.0405290430949284
"Champaign County, Illinois",152.5,175.04747618228586,0.1478523028346614
"Saratoga County, New York",174.2,171.58854259579616,0.014991144685441061
"Montmorency County, Michigan",207.6,180.97895360520198,0.12823240074565517
"Barrow County, Georgia",192.0,179.25031394609795,0.06640461486407319
"Campbell County, Wyoming",215.9,175.51602277664097,0.18704945448522017
"Big Stone County, Minnesota",178.0,179.8399035057126,0.010336536548947263
"Santa Cruz County, California",145.4,170.40964523851912,0.17200581319476693
"Hays County, Texas",149.5,174.31789110399407,0.16600596056183325
"Richland County, South Carolina",184.8,167.045276651165,0.09607534279672618
"Summit County, Utah",123.6,173.76225533181344,0.40584348973959095
"Quay County, New Mexico",190.6,182.08862270074718,0.04465570461307877
"Benewah County, Idaho",222.2,179.91035002815974,0.19032245711899304
"Sullivan County, New York",178.8,179.36172544399724,0.0031416411856668497
"Oklahoma County, Oklahoma",186.1,164.477150437612,0.11618941194190212
"Murray County, Georgia",204.0,180.7020336690359,0.11420571730864755
"Hopkins County, Kentucky",196.7,180.48444337112028,0.08243801031458928
"Jerome County, Idaho",147.6,179.96515226235363,0.21927609933843925
"Marlboro County, South Carolina",231.1,181.95361330048001,0.21266285893344863
"Howard County, Iowa",165.8,179.45120269636297,0.08233536005044004
"Laurens County, Georgia",169.7,181.3424849163318,0.06860627528775383
"Gasconade County, Missouri",180.8,180.24123254471886,0.0030905279606258645
"Cole County, Missouri",168.6,178.93929379458132,0.06132439973061283
"Calhoun County, Georgia",162.8,181.8571925347127,0.11705892220339494
"Somerset County, Maryland",216.5,181.02979941544353,0.16383464473236242
"Northumberland County, Pennsylvania",177.5,180.14189478392763,0.014883914275648596
"Dodge County, Nebraska",177.9,179.51781101058984,0.009093934854355439
"Greene County, Missouri",173.6,172.07643597784477,0.008776290450202923
"Monroe County, Arkansas",229.9,181.87686501126586,0.20888705954212328
"Buena Vista County, Iowa",149.1,179.40488093047168,0.20325205184756326
"Swain County, North Carolina",215.3,181.4256839923549,0.1573354203792156
"Pennington County, South Dakota",159.7,178.74777100336723,0.11927220415383373
"Dallas County, Alabama",217.4,182.53529908009676,0.16037120938317959
"Newton County, Mississippi",185.3,181.42152334959553,0.020930796818156933
"Torrance County, New Mexico",164.3,181.11292333758163,0.10233063504310178
"Pawnee County, Kansas",182.5,179.74656036790108,0.015087340449857082
"Stark County, North Dakota",131.8,175.94559766343548,0.3349438365966272
"Bosque County, Texas",190.7,180.2171116743782,0.05497057328590345
"Scott County, Arkansas",207.4,181.59243077131086,0.1244337957024549
"New Madrid County, Missouri",229.7,181.47199194203168,0.20996085353926128
"Dimmit County, Texas",148.0,181.13495311574113,0.2238848183496022
"Red River Parish, Louisiana",172.2,181.55885549332925,0.05434875431666236
"Schuyler County, Missouri",208.7,181.34821987273511,0.13105788273725383
"Fayette County, Georgia",140.8,174.63124863824464,0.24027875453298742
"Morgan County, Alabama",184.9,178.87727065760876,0.03257290071601538
"Colbert County, Alabama",190.5,180.35996500654824,0.05322853014935309
"Sherman County, Nebraska",187.4,180.16027080790673,0.03863249302077523
"Clay County, Kansas",169.2,179.00758159584532,0.057964430235492526
"Tattnall County, Georgia",216.4,181.58610440133583,0.16087752125075866
"Maries County, Missouri",187.4,180.6953168525747,0.03577739139501227
"Vermilion County, Illinois",203.1,180.19560783104257,0.11277396439663924
"Roberts County, South Dakota",179.9,179.96829319980785,0.00037961756424591557
"Hot Springs County, Wyoming",163.0,180.10803982855396,0.1049572995616807
"Mingo County, West Virginia",240.8,182.11366842189284,0.2437140015702125
"Boone County, Arkansas",198.2,180.86087605770243,0.08748296640917035
"San Benito County, California",150.4,176.96702308852736,0.17664244074818716
"Park County, Colorado",137.9,178.36073753262235,0.29340636354330923
"Randolph County, West Virginia",168.6,181.1552387258619,0.0744676081011975
"Essex County, Vermont",171.3,181.25077813750573,0.058089773131965686
"Santa Rosa County, Florida",190.7,175.54673217932606,0.07946128904391155
"Logan County, West Virginia",240.1,181.29328878502432,0.24492591093284333
"Sumter County, Alabama",216.2,182.58618542368802,0.155475553081924
"Grady County, Oklahoma",193.7,179.28367850446384,0.07442602733885469
"Buena Vista city, Virginia",240.8,180.90620671969248,0.248728377409915
"Jackson County, Michigan",193.8,177.31060977216998,0.08508457289901974
"Marshall County, Indiana",163.7,179.15823851593873,0.09443029026230144
"Carroll County, Indiana",166.3,178.79584662274172,0.07514038859135122
"Gibson County, Tennessee",214.7,181.115681807346,0.1564243977301071
"Cherokee County, Iowa",135.4,179.0676731418978,0.32250866426807834
"Carteret County, North Carolina",191.5,179.4543355518376,0.0629016420269577
"Hancock County, Illinois",170.0,179.6467209680447,0.056745417459086414
"Muhlenberg County, Kentucky",207.1,180.9721665790107,0.1261604704055495
"Midland County, Texas",148.3,173.72778093924995,0.17146177302258894
"Henry County, Alabama",194.1,180.78949732853712,0.06857549032180768
"Bergen County, New Jersey",147.3,161.98603996616563,0.09970156120954259
"Grant County, Minnesota",159.9,179.63063357162,0.12339358081063158
"White County, Arkansas",201.4,180.19697467644784,0.10527817936222526
"Woods County, Oklahoma",125.3,179.58125223299226,0.43321031311246816
"East Feliciana Parish, Louisiana",212.2,180.58225222705346,0.1489997538781646
"Glades County, Florida",135.3,180.91165827187112,0.3371149909229202
"Swift County, Minnesota",162.3,179.29000688937543,0.10468272883164154
"Leon County, Florida",155.8,171.68878402196475,0.1019819256865516
"Butler County, Iowa",156.6,179.17184406252602,0.14413693526517257
"Brevard County, Florida",181.2,165.4065499529213,0.08716032034811641
"Metcalfe County, Kentucky",218.0,181.93021250222017,0.1654577408155038
"Merrimack County, New Hampshire",173.1,175.74837123594543,0.015299660519615442
"Montgomery County, Tennessee",195.4,175.39091557697617,0.10240063676061328
"Botetourt County, Virginia",148.7,177.70617606904804,0.1950650710763151
"Middlesex County, New Jersey",156.7,163.41437954397074,0.04284862504129388
"Southampton County, Virginia",181.8,179.94238646274215,0.010217896244542694
"Newport County, Rhode Island",164.0,176.52480933410322,0.07637078862258063
"Macon County, Alabama",214.8,182.24711317860334,0.1515497524273588
"Bear Lake County, Idaho",143.2,179.98127114394558,0.25685245212252505
"Luna County, New Mexico",181.8,182.43245444634246,0.0034788473396174377
"Monongalia County, West Virginia",155.9,179.4499910901428,0.1510583135993764
"Pierce County, Wisconsin",149.8,177.03844225584578,0.18183205778268202
"Essex County, New Jersey",161.8,164.17839554599493,0.014699601643973544
"Luce County, Michigan",175.3,180.99800655249874,0.0325043157586921
"Warren County, Virginia",202.5,178.0906121148588,0.12054018708711704
"Starr County, Texas",136.5,182.37552597313993,0.3360844393636625
"Hardin County, Texas",190.7,178.918011744805,0.06178284349866277
"Crittenden County, Kentucky",211.2,180.9302626133294,0.14332262020203876
"Coffee County, Alabama",173.3,179.87291158198283,0.03792793757635789
"York County, Virginia",152.3,175.10045180966785,0.1497074971087842
"Berrien County, Michigan",179.0,177.80839321517357,0.0066570211442817506
"Clay County, Texas",167.3,179.3079774319634,0.0717751191390519
"Faulk County, South Dakota",146.6,179.79871002593882,0.2264577764388733
"Lunenburg County, Virginia",189.8,181.05824666275188,0.046057709890664524
"Kitsap County, Washington",164.9,171.23656135075362,0.03842669102943367
"Palm Beach County, Florida",144.3,162.7168912587611,0.12762918405239845
"Saline County, Missouri",205.8,180.66820801200672,0.12211755096206654
"Pike County, Ohio",217.9,180.76106684203614,0.17044026231282175
"Pope County, Arkansas",207.1,180.68886821387423,0.12752840070558072
"Prentiss County, Mississippi",203.2,181.4871097978132,0.10685477461706103
"Greene County, Ohio",159.2,175.5463005141011,0.10267776704837377
"Ramsey County, Minnesota",166.5,165.26157170470813,0.007438007779530739
"Blanco County, Texas",154.0,178.50095874300317,0.15909713469482575
"Grant Parish, Louisiana",222.7,180.72176164086082,0.18849680448648035
"Manassas city, Virginia",155.2,176.48723200230089,0.13716000001482537
"Gregory County, South Dakota",169.4,181.0694862471413,0.06888716792881519
"Kalamazoo County, Michigan",171.0,172.81630662186484,0.010621676151256372
"Gilmer County, West Virginia",209.9,181.6355591607751,0.13465669766186233
"Beltrami County, Minnesota",162.6,180.32122668298453,0.10898663396669457
"Clay County, Minnesota",161.0,178.62879718098404,0.10949563466449712
"Spokane County, Washington",171.0,165.70472215559522,0.030966537101782335
"Dunn County, Wisconsin",155.6,179.20737963097918,0.15171837809112584
"Laurens County, South Carolina",202.6,180.86515059365877,0.10727961207473459
"Dorchester County, Maryland",185.4,180.5376467580491,0.02622628501591639
"Clay County, Nebraska",148.9,178.65104265304944,0.19980552486937164
"New Castle County, Delaware",177.2,164.93801220346987,0.06919857672985397
"Auglaize County, Ohio",189.7,179.1445334849914,0.05564294420141587
"Alcona County, Michigan",177.0,181.18999805643844,0.02367230540360701
"Sevier County, Tennessee",185.2,180.15124373891126,0.027261102921645394
"Kiowa County, Colorado",200.9,180.3425385910957,0.10232683628125593
"Robeson County, North Carolina",193.0,180.25168814718666,0.06605342928918831
"Wilson County, North Carolina",199.1,180.51454754116386,0.09334732525784094
"Laclede County, Missouri",183.2,181.23439449965701,0.010729287665627588
"Crawford County, Iowa",148.6,179.4339104091242,0.20749603236288158
"Washington County, Minnesota",152.1,169.2699505761288,0.11288593409683628
"Richardson County, Nebraska",192.2,180.15930699714437,0.0626466857588742
"Crisp County, Georgia",164.9,181.93484274695032,0.10330407972680605
"Elmore County, Idaho",180.0,180.16618947902887,0.0009232748834937372
"Des Moines County, Iowa",170.1,180.1372242962817,0.05900778539848144
"Stewart County, Tennessee",230.1,180.54869303275785,0.21534683601582852
"Santa Fe County, New Mexico",126.1,176.96958180970802,0.4034066757312294
"Quitman County, Mississippi",254.5,182.43243943943833,0.28317312597470207
"James City County, Virginia",149.0,175.74913987012178,0.17952442865853543
"Caldwell Parish, Louisiana",200.1,181.19028344860482,0.09450133209093042
"Divide County, North Dakota",93.8,177.08875370739017,0.8879398049828376
"Dunklin County, Missouri",230.0,181.92162661549116,0.20903640601960363
"Fremont County, Wyoming",169.0,179.69828600794352,0.06330346750262439
"Lee County, Georgia",192.8,177.58784425747575,0.07890122273093496
"St. Landry Parish, Louisiana",217.8,181.3226569155316,0.16748091407010285
"Madison County, Illinois",189.2,171.73167221684668,0.09232731386444669
"Tallapoosa County, Alabama",200.5,181.24216184727007,0.09604906809341612
"Catoosa County, Georgia",161.0,179.23649620282083,0.11327016275043994
"Martin County, Texas",153.2,177.83700548954897,0.16081596272551557
"Deschutes County, Oregon",154.3,175.98339873427702,0.14052753554294883
"Broome County, New York",163.6,175.7969681661431,0.07455359514757401
"Franklin County, Arkansas",201.6,180.73156206635525,0.10351407705180923
"Dawson County, Texas",165.4,180.51408821668036,0.09137900977436733
"Kemper County, Mississippi",171.0,181.61085342812186,0.06205177443346115
"Sherman County, Kansas",161.6,180.2861252562355,0.11563196321927909
"Mackinac County, Michigan",160.3,180.81547561248874,0.12798175678408438
"Benton County, Indiana",173.4,179.91758737882375,0.03758700910509659
"Lee County, Illinois",194.2,178.93281755742564,0.07861576952921911
"Latah County, Idaho",148.9,180.3770111103696,0.21139698529462458
"Baker County, Florida",206.1,179.89912431359323,0.127127004786059
"Penobscot County, Maine",187.5,178.0579209704356,0.05035775482434353
"Wayne County, Missouri",240.5,181.92936200284274,0.24353695632913622
"DeKalb County, Alabama",170.6,181.06971902056702,0.061369982535562875
"Saunders County, Nebraska",176.2,177.91690370361346,0.009744061882028764
"Union County, Indiana",192.3,179.74707964870998,0.06527779693858568
"Parmer County, Texas",142.1,180.491520188925,0.27017255586857847
"McDowell County, West Virginia",234.8,182.72507532451047,0.22178417664177827
"Gallatin County, Kentucky",234.4,180.0094006035318,0.23204180629892585
"Lee County, Arkansas",217.6,182.23276777916143,0.16253323630900074
"Coryell County, Texas",184.5,179.60238632080438,0.02654533159455618
"Medina County, Texas",155.6,179.02651676276253,0.15055602032623736
"Nash County, North Carolina",189.0,179.7493934659635,0.04894500811659527
"Cooke County, Texas",169.2,178.53742439494758,0.05518572337439474
"Perry County, Illinois",174.6,180.54201872974025,0.03403218058270478
"Golden Valley County, Montana",231.0,180.96895102944507,0.21658462757815988
"Allegany County, New York",177.2,180.45553121771002,0.01837207233470671
"St. Clair County, Illinois",191.2,172.25161138774567,0.09910245090091171
"Kane County, Illinois",156.6,164.7057975538726,0.0517611593478455
"Houghton County, Michigan",155.4,180.94623607784126,0.16439019355110204
"McKenzie County, North Dakota",124.6,175.30115566481066,0.40691136167584807
"Douglas County, Kansas",153.7,178.38018914647864,0.1605737745379223
"Presque Isle County, Michigan",171.8,180.82375112032202,0.052524744588603046
"King County, Washington",152.7,164.13330654053706,0.07487430609389048
"Dewey County, Oklahoma",202.1,179.3454193113064,0.11259070108210593
"Livingston County, Illinois",176.6,179.0040679432105,0.013613068761101316
"Sunflower County, Mississippi",230.1,182.19690171646002,0.20818382565641017
"Winston County, Alabama",203.4,181.38742036404872,0.10822310538815773
"Lauderdale County, Tennessee",218.3,181.64464064361204,0.1679127776288959
"Ellis County, Kansas",146.4,179.58323745530782,0.22666145802805887
"Etowah County, Alabama",201.0,179.98548714024992,0.10454981522263723
"Lewis County, Tennessee",217.1,181.21884503578568,0.16527478104198212
"San Augustine County, Texas",182.2,181.61986012208092,0.003184082754769848
"Lane County, Oregon",169.1,168.63622267194756,0.0027426216916169722
"St. Tammany Parish, Louisiana",177.7,171.5074084399911,0.03484857377607698
"Harrison County, Iowa",178.1,179.09550471279482,0.005589582890481899
"Rowan County, North Carolina",189.8,178.26862451392554,0.060755402982478744
"Harrison County, Indiana",183.5,178.61551082221746,0.026618469633692323
"Lavaca County, Texas",148.2,179.88339687207238,0.21378810305042104
"McKinley County, New Mexico",137.7,181.84956762385522,0.3206214061282152
"Chesapeake city, Virginia",182.2,171.79007614568323,0.05713459854180439
"Brunswick County, North Carolina",169.2,178.48697319178223,0.05488754841478864
"Real County, Texas",166.8,181.0013262830176,0.0851398458214483
"Vance County, North Carolina",198.5,181.6379376875955,0.08494741719095468
"Cherokee County, South Carolina",187.8,180.88155410376342,0.03683943501723424
"Elliott County, Kentucky",163.8,181.89515167709177,0.11047101145965667
"Warren County, Missouri",177.6,179.13450944461127,0.008640255881820236
"Cloud County, Kansas",178.6,180.36850886741274,0.009902065327059062
"Lamar County, Alabama",202.2,181.45109819523947,0.10261573592858814
"McCracken County, Kentucky",168.9,180.5001934095865,0.06868083723852277
"Hardin County, Iowa",169.8,179.05353936352384,0.054496698253968356
"Owen County, Kentucky",159.8,180.26685719567507,0.1280779549166149
"Norton County, Kansas",109.9,180.05748361899114,0.6383756471245781
"Pike County, Kentucky",238.4,181.63956198721024,0.23808908562411812
"Cayuga County, New York",158.6,178.79493888108135,0.12733252762346378
"Watonwan County, Minnesota",159.7,179.61216523213528,0.12468481673221851
"Hidalgo County, New Mexico",166.3,181.39028439969795,0.09074133734033635
"Jefferson County, Washington",154.9,179.3975272697159,0.1581505956727947
"Stanley County, South Dakota",159.7,177.11602460712368,0.1090546312280757
"Crawford County, Wisconsin",176.4,180.31621069187543,0.02220074088364751
"Henderson County, Illinois",178.2,179.27919263976585,0.006056075419561528
"Pointe Coupee Parish, Louisiana",188.2,180.22911436682088,0.04235327116460738
"Petersburg city, Virginia",224.4,181.76351408927428,0.19000216537756562
"Edmunds County, South Dakota",162.6,178.44796934238113,0.09746598611550514
"Archuleta County, Colorado",105.2,180.16588854824104,0.712603503310276
"Evangeline Parish, Louisiana",211.4,181.78159959690606,0.14010596217168375
"Dixon County, Nebraska",168.3,179.05954695480798,0.06393076027812224
"Bay County, Michigan",182.3,179.12576034110882,0.017412175857878198
"Coweta County, Georgia",169.3,176.27218560921708,0.041182431241683776
"Scott County, Mississippi",211.0,181.84464441775748,0.13817704067413517
"Ocean County, New Jersey",174.2,164.99383081288514,0.05284827317517137
"Mifflin County, Pennsylvania",168.3,180.681143195143,0.07356591322128926
"Taylor County, Florida",198.5,181.27347001811404,0.0867835263571081
"Ottawa County, Ohio",185.3,179.46910591424685,0.03146731832570512
"Stephens County, Texas",211.3,180.19350406253386,0.14721484116169498
"Columbia County, Washington",194.4,179.96629629331886,0.07424744705082892
"McLean County, Illinois",168.5,175.07904902010773,0.03904480130627734
"Delta County, Texas",184.1,180.89480794280217,0.017410060060824663
"Buchanan County, Missouri",189.9,179.57556762037075,0.05436773238351373
"Harrison County, Ohio",201.4,180.43675355627667,0.10408761888641178
"Washington County, New York",198.4,179.69941592257734,0.0942569761966868
"Wilkes County, North Carolina",183.5,181.46925138766994,0.011066749930953993
"Polk County, Iowa",188.7,165.44303808600583,0.12324834082667813
"Sanpete County, Utah",156.7,180.2255597808432,0.15013120472778063
"Colonial Heights city, Virginia",159.3,179.17729954581404,0.12477903041942262
"Lee County, Mississippi",249.7,179.91681720534504,0.2794680928900879
"Fulton County, Ohio",181.2,178.8890929395747,0.012753350223097568
"Nuckolls County, Nebraska",154.3,180.25485675252722,0.16821034836375376
"Belmont County, Ohio",185.2,180.35052759681167,0.026185056172723084
"Pulaski County, Georgia",127.1,181.23093344256637,0.4258924739777056
"Bonneville County, Idaho",137.4,178.31343775036834,0.2977688336999151
"Taylor County, West Virginia",172.2,180.7393860597743,0.049589930660710234
"Magoffin County, Kentucky",221.5,182.08649548359912,0.17793907230880757
"Lincoln County, Kentucky",199.1,181.41016704940924,0.0888489851862921
"Iron County, Missouri",216.3,181.60279487731592,0.16041241388203464
"Lynn County, Texas",154.4,180.48179517644311,0.16892354388888023
"Pulaski County, Illinois",192.1,181.45026981564837,0.05543847050677577
"Hampshire County, Massachusetts",164.4,175.8690028694741,0.06976279117684964
"Marion County, Tennessee",220.2,180.72875478543776,0.17925179479819361
"Chicot County, Arkansas",229.0,182.05510842997336,0.20499952650666656
"Forsyth County, Georgia",129.9,170.4713961592323,0.31232791500563745
"Pender County, North Carolina",169.8,180.01943715957742,0.06018514228255247
"Richland County, Wisconsin",168.7,180.2629200408608,0.06854131618767519
"Clermont County, Ohio",178.7,173.70937199566708,0.02792740908971967
"Storey County, Nevada",132.6,178.6863106531653,0.3475589038700249
"Otter Tail County, Minnesota",156.9,179.2127245417091,0.142209844115418
"Taylor County, Wisconsin",131.8,179.67169718208055,0.3632146978913546
"Benton County, Arkansas",166.2,172.15929736759662,0.035856181513818496
"Fleming County, Kentucky",191.3,181.28905693189571,0.05233111901779559
"Alachua County, Florida",182.4,173.02781351451557,0.05138260134585764
"Tioga County, New York",160.5,179.18619024579303,0.11642486134450485
"Trinity County, California",189.4,181.39286968053415,0.04227629524533188
"Dougherty County, Georgia",194.2,181.24312636617606,0.06671922571485032
