Geography,Actual,Predict,Deviation
"Linn County, Oregon",0.418343780930386,0.4270079,0.02071055685308083
"Champaign County, Illinois",0.3061695809963708,0.333268,0.08850783180316982
"Saratoga County, New York",0.3777631144836687,0.34246257,0.0934462462189936
"Montmorency County, Michigan",0.487957769712966,0.46015933,0.05696894255661333
"Barrow County, Georgia",0.4364896073903003,0.42807928,0.0192681107886886
"Campbell County, Wyoming",0.5153414714615638,0.32338676,0.3724806240632195
"Big Stone County, Minnesota",0.3903002309468822,0.31774354,0.18589968794196313
"Santa Cruz County, California",0.2827449686572089,0.31588075,0.11719316226737764
"Hays County, Texas",0.2962718574727813,0.2820287,0.048074605237933284
"Richland County, South Carolina",0.4127350709336853,0.38034374,0.07847972706162773
"Summit County, Utah",0.2108215110524579,0.24660161,0.16971750247273298
"Quay County, New Mexico",0.4318706697459584,0.4014588,0.07041892871499691
"Benewah County, Idaho",0.5361266908611019,0.42398655,0.20916723346710195
"Sullivan County, New York",0.3929396238865061,0.3904892,0.006236156703643101
"Oklahoma County, Oklahoma",0.417024084460574,0.35196647,0.15600445251204528
"Murray County, Georgia",0.4760805014846585,0.4114938,0.13566338728883576
"Hopkins County, Kentucky",0.4519960409105905,0.44504422,0.01538027059422774
"Jerome County, Idaho",0.2900032992411745,0.31022882,0.06974239750798114
"Marlboro County, South Carolina",0.5654899373144177,0.5526257,0.02274880724303776
"Howard County, Iowa",0.350049488617618,0.38512543,0.10020280263538513
"Laurens County, Georgia",0.3629165291982843,0.44175383,0.21723261120644508
"Gasconade County, Missouri",0.3995381062355658,0.4396025,0.10027676303951734
"Cole County, Missouri",0.3592873639063015,0.38170373,0.06239120198347037
"Calhoun County, Georgia",0.3401517650940284,0.49790522,0.4637737494146326
"Somerset County, Maryland",0.5173210161662818,0.49175283,0.049424210962440346
"Northumberland County, Pennsylvania",0.3886506103596173,0.41201258,0.060110459303410635
"Dodge County, Nebraska",0.3899703068294292,0.4348765,0.11515285636971258
"Greene County, Missouri",0.3757835697789508,0.38436377,0.02283282558367498
"Monroe County, Arkansas",0.5615308479049819,0.62706053,0.11669828097492489
"Buena Vista County, Iowa",0.2949521610029693,0.31625113,0.07221160149014248
"Swain County, North Carolina",0.513361926756846,0.4684083,0.08756714871579406
"Pennington County, South Dakota",0.3299241174529858,0.36823386,0.11611682826280606
"Dallas County, Alabama",0.5202903332233586,0.653534,0.2560948251770809
"Newton County, Mississippi",0.4143846915209502,0.3804066,0.08199652134897606
"Torrance County, New Mexico",0.3451006268558232,0.49628788,0.4380961485050374
"Pawnee County, Kansas",0.4051468162322665,0.316391,0.21907077006486014
"Stark County, North Dakota",0.2378752886836027,0.3271885,0.37546230056910884
"Bosque County, Texas",0.4322005938634113,0.34704477,0.1970284842807826
"Scott County, Arkansas",0.48729792147806,0.4732326,0.028863912086351137
"New Madrid County, Missouri",0.5608709996700758,0.49843156,0.11132584200185876
"Dimmit County, Texas",0.2913229957109864,0.30093265,0.03298623942572853
"Red River Parish, Louisiana",0.371164632134609,0.38832468,0.046232976754506584
"Schuyler County, Missouri",0.4915869350049489,0.42044112,0.14472682058011127
"Fayette County, Georgia",0.2675684592543715,0.3122847,0.1671207768408496
"Morgan County, Alabama",0.4130649950511382,0.41200975,0.002554680806950535
"Colbert County, Alabama",0.4315407456285054,0.40145335,0.06972087785282625
"Sherman County, Nebraska",0.4213130979874628,0.2991823,0.28988133236684166
"Clay County, Kansas",0.3612669086110194,0.32892364,0.08952734170983355
"Tattnall County, Georgia",0.5169910920488288,0.43711343,0.1545049019238716
"Maries County, Missouri",0.4213130979874628,0.44232044,0.04986158358742712
"Vermilion County, Illinois",0.4731111844275816,0.47358155,0.0009942019833681683
"Roberts County, South Dakota",0.3965687891784889,0.41397107,0.04388211521253418
"Hot Springs County, Wyoming",0.3408116133289344,0.29852474,0.12407698070437508
"Mingo County, West Virginia",0.5974925767073573,0.63541085,0.0634623258104645
"Boone County, Arkansas",0.4569449026723853,0.4576929,0.0016369340867343192
"San Benito County, California",0.2992411745298581,0.30857387,0.031187878258304644
"Park County, Colorado",0.2580006598482349,0.25284648,0.01997739244300076
"Randolph County, West Virginia",0.3592873639063015,0.40835547,0.13657065484368344
"Essex County, Vermont",0.3681953150775322,0.48899978,0.32809887570078633
"Santa Rosa County, Florida",0.4322005938634113,0.35977924,0.16756421946387234
"Logan County, West Virginia",0.5951831078851864,0.5795588,0.02625127956105962
"Sumter County, Alabama",0.5163312438139228,0.5241166,0.01507817316359983
"Grady County, Oklahoma",0.442098317387001,0.3967995,0.1024632097625021
"Buena Vista city, Virginia",0.5974925767073573,0.45548797,0.2376675722942637
"Jackson County, Michigan",0.442428241504454,0.39966077,0.09666533771510626
"Marshall County, Indiana",0.3431210821511052,0.3819089,0.11304409274688147
"Carroll County, Indiana",0.3516991092048829,0.39824015,0.13233198094099585
"Gibson County, Tennessee",0.5113823820521279,0.48254287,0.05639519591485287
"Cherokee County, Iowa",0.2497525569119102,0.31773454,0.27219734379290933
"Carteret County, North Carolina",0.4348399868030352,0.37469703,0.13831054879428745
"Hancock County, Illinois",0.3639063015506434,0.34277484,0.05806841830286471
"Muhlenberg County, Kentucky",0.4863081491257011,0.4910322,0.009714136716468697
"Midland County, Texas",0.2923127680633455,0.32684356,0.11812960448975462
"Henry County, Alabama",0.4434180138568129,0.4215639,0.04928559421872092
"Bergen County, New Jersey",0.2890135268888155,0.2931166,0.014196817971528152
"Grant County, Minnesota",0.3305839656878918,0.30670017,0.07224729002830747
"White County, Arkansas",0.4675024744308809,0.4476414,0.04248335149898944
"Woods County, Oklahoma",0.2164302210491586,0.33237034,0.5356928399968445
"East Feliciana Parish, Louisiana",0.5031342791158033,0.48153,0.04293936889679699
"Glades County, Florida",0.2494226327944572,0.33576748,0.3461788691304352
