Geography,Actual,Predict,Deviation
"Linn County, Oregon",0.418343780930386,0.40315858,0.03629838980804853
"Champaign County, Illinois",0.3061695809963708,0.32036853,0.046376087799154544
"Saratoga County, New York",0.3777631144836687,0.38462725,0.018170483221653846
"Montmorency County, Michigan",0.487957769712966,0.44035542,0.09755424045887726
"Barrow County, Georgia",0.4364896073903003,0.3999607,0.08368792767247209
"Campbell County, Wyoming",0.5153414714615638,0.33974048,0.340746856663047
"Big Stone County, Minnesota",0.3903002309468822,0.35125765,0.10003216961431784
"Santa Cruz County, California",0.2827449686572089,0.31976056,0.13091512293910185
"Hays County, Texas",0.2962718574727813,0.25906155,0.12559516336312546
"Richland County, South Carolina",0.4127350709336853,0.35466143,0.14070438917020534
"Summit County, Utah",0.2108215110524579,0.24424402,0.15853464353905436
"Quay County, New Mexico",0.4318706697459584,0.4762983,0.10287253980968097
"Benewah County, Idaho",0.5361266908611019,0.5003901,0.06665696573257433
"Sullivan County, New York",0.3929396238865061,0.38976392,0.008081909265966606
"Oklahoma County, Oklahoma",0.417024084460574,0.38312274,0.0812934877091569
"Murray County, Georgia",0.4760805014846585,0.43426666,0.0878293580960996
"Hopkins County, Kentucky",0.4519960409105905,0.48714364,0.07776084668444912
"Jerome County, Idaho",0.2900032992411745,0.3103142,0.07003682055028501
"Marlboro County, South Carolina",0.5654899373144177,0.5496199,0.028064202678106165
"Howard County, Iowa",0.350049488617618,0.37651956,0.0756180856050352
"Laurens County, Georgia",0.3629165291982843,0.46209058,0.2732695936343889
"Gasconade County, Missouri",0.3995381062355658,0.46123394,0.15441790533203617
"Cole County, Missouri",0.3592873639063015,0.37368107,0.04006181669629323
"Calhoun County, Georgia",0.3401517650940284,0.38957235,0.14528981516016667
"Somerset County, Maryland",0.5173210161662818,0.52265143,0.01030388793775007
"Northumberland County, Pennsylvania",0.3886506103596173,0.39954036,0.02801939349223074
"Dodge County, Nebraska",0.3899703068294292,0.40896592,0.04871039738005605
"Greene County, Missouri",0.3757835697789508,0.37642974,0.0017195185932599886
"Monroe County, Arkansas",0.5615308479049819,0.58201855,0.03648545112368921
"Buena Vista County, Iowa",0.2949521610029693,0.3162501,0.07220806504789361
"Swain County, North Carolina",0.513361926756846,0.48690364,0.051539250829072854
"Pennington County, South Dakota",0.3299241174529858,0.37233332,0.12854228684306157
"Dallas County, Alabama",0.5202903332233586,0.57160264,0.09862245372676673
"Newton County, Mississippi",0.4143846915209502,0.43646294,0.05327959192596419
"Torrance County, New Mexico",0.3451006268558232,0.4493223,0.30200375804595675
"Pawnee County, Kansas",0.4051468162322665,0.36703727,0.09406355477214232
"Stark County, North Dakota",0.2378752886836027,0.3232709,0.358993146894048
"Bosque County, Texas",0.4322005938634113,0.45605433,0.05519135407819119
"Scott County, Arkansas",0.48729792147806,0.46799663,0.03960881738866102
"New Madrid County, Missouri",0.5608709996700758,0.5329629,0.04975846746388591
"Dimmit County, Texas",0.2913229957109864,0.3434363,0.17888496895473674
"Red River Parish, Louisiana",0.371164632134609,0.39237806,0.05715369417932314
"Schuyler County, Missouri",0.4915869350049489,0.48387578,0.01568624623269846
"Fayette County, Georgia",0.2675684592543715,0.2981233,0.1141944790739019
"Morgan County, Alabama",0.4130649950511382,0.4156411,0.006236558881240255
"Colbert County, Alabama",0.4315407456285054,0.41693103,0.033854769548509404
"Sherman County, Nebraska",0.4213130979874628,0.34855083,0.17270355947613233
"Clay County, Kansas",0.3612669086110194,0.36297703,0.004733672642816876
"Tattnall County, Georgia",0.5169910920488288,0.47455662,0.08207968727524445
"Maries County, Missouri",0.4213130979874628,0.40835345,0.030760140463814666
"Vermilion County, Illinois",0.4731111844275816,0.47704333,0.008311251923961574
"Roberts County, South Dakota",0.3965687891784889,0.4316258,0.08840086518131364
"Hot Springs County, Wyoming",0.3408116133289344,0.2912142,0.1455273632562404
"Mingo County, West Virginia",0.5974925767073573,0.5935098,0.006665829135067007
"Boone County, Arkansas",0.4569449026723853,0.4384243,0.04053139303565445
"San Benito County, California",0.2992411745298581,0.350191,0.1702634093516981
"Park County, Colorado",0.2580006598482349,0.24803595,0.03862279811707294
"Randolph County, West Virginia",0.3592873639063015,0.36907694,0.027247196851902123
"Essex County, Vermont",0.3681953150775322,0.4225547,0.14763736599341926
"Santa Rosa County, Florida",0.4322005938634113,0.36553222,0.154253315243102
"Logan County, West Virginia",0.5951831078851864,0.5807164,0.024306362457655932
"Sumter County, Alabama",0.5163312438139228,0.5230109,0.012936783941409047
"Grady County, Oklahoma",0.442098317387001,0.39770696,0.1004106099703419
"Buena Vista city, Virginia",0.5974925767073573,0.5659556,0.052782241413436674
"Jackson County, Michigan",0.442428241504454,0.37840226,0.1447149448702355
"Marshall County, Indiana",0.3431210821511052,0.38214794,0.11374076934388064
"Carroll County, Indiana",0.3516991092048829,0.4167119,0.18485343224223955
"Gibson County, Tennessee",0.5113823820521279,0.5116062,0.000437704516995481
"Cherokee County, Iowa",0.2497525569119102,0.3275214,0.31138362551459897
"Carteret County, North Carolina",0.4348399868030352,0.38046303,0.1250504887746207
"Hancock County, Illinois",0.3639063015506434,0.34038797,0.06462743635190596
"Muhlenberg County, Kentucky",0.4863081491257011,0.4982182,0.02449076670238413
"Midland County, Texas",0.2923127680633455,0.33602116,0.1495260961236047
"Henry County, Alabama",0.4434180138568129,0.44419187,0.0017452137544751954
"Bergen County, New Jersey",0.2890135268888155,0.30746886,0.06385629991554266
"Grant County, Minnesota",0.3305839656878918,0.28411636,0.14056219582905072
"White County, Arkansas",0.4675024744308809,0.42917913,0.08197463017243603
"Woods County, Oklahoma",0.2164302210491586,0.30672777,0.417213203885207
"East Feliciana Parish, Louisiana",0.5031342791158033,0.43386763,0.13767029727091548
"Glades County, Florida",0.2494226327944572,0.30681637,0.23010636948876947
"Swift County, Minnesota",0.3385021445067635,0.3336689,0.01427836416989995
"Leon County, Florida",0.3170570768723194,0.30680102,0.0323476639424105
"Butler County, Iowa",0.3196964698119432,0.353971,0.10720961258753424
"Brevard County, Florida",0.4008578027053777,0.3840802,0.04185424658006092
"Metcalfe County, Kentucky",0.5222698779280766,0.48294672,0.07529278614441204
"Merrimack County, New Hampshire",0.3741339491916858,0.36095718,0.03521940130510419
"Montgomery County, Tennessee",0.4477070273837018,0.35646793,0.2037919651478113
"Botetourt County, Virginia",0.2936324645331573,0.29959515,0.02030661986785022
"Middlesex County, New Jersey",0.3200263939293962,0.34575048,0.0803811418334235
"Southampton County, Virginia",0.4028373474100957,0.40873274,0.014634677491941738
"Newport County, Rhode Island",0.3441108545034642,0.33882147,0.015371162219335505
"Macon County, Alabama",0.5117123061695811,0.51188517,0.0003378069992604944
"Bear Lake County, Idaho",0.2754866380732431,0.3326097,0.20735334172220318
"Luna County, New Mexico",0.4028373474100957,0.41498402,0.03015279064502603
"Monongalia County, West Virginia",0.3173870009897723,0.36985382,0.16530867119217138
"Pierce County, Wisconsin",0.2972616298251402,0.29029688,0.023429688649225143
"Essex County, New Jersey",0.3368525239194986,0.36715385,0.0899542889153686
"Luce County, Michigan",0.3813922797756516,0.38383237,0.006397836632175844
"Warren County, Virginia",0.4711316397228637,0.4242595,0.09948838531386611
"Starr County, Texas",0.2533817222038931,0.28731078,0.13390491072398922
"Hardin County, Texas",0.4322005938634113,0.43629098,0.009464090471049551
"Crittenden County, Kentucky",0.4998350379412735,0.46305686,0.07358062719747961
"Coffee County, Alabama",0.3747937974265919,0.37893602,0.011052010790772764
"York County, Virginia",0.3055097327614648,0.32792497,0.07336995076412275
"Berrien County, Michigan",0.3935994721214121,0.37763274,0.040565946076162186
"Clay County, Texas",0.3549983503794127,0.34725803,0.021803816842766808
"Faulk County, South Dakota",0.2867040580666447,0.31262037,0.09039395426853342
"Lunenburg County, Virginia",0.4292312768063345,0.40501252,0.05642356451523467
"Kitsap County, Washington",0.347080171560541,0.31275123,0.09890780515770474
"Palm Beach County, Florida",0.279115803365226,0.3097105,0.10961292370554962
"Saline County, Missouri",0.4820191355988122,0.45543256,0.05515667245373332
