Geography,Actual,Predict,Deviation
"Linn County, Oregon",186.5,189.01018,0.013459397385011729
"Champaign County, Illinois",152.5,159.66151,0.04696074939164959
"Saratoga County, New York",174.2,167.35153,0.0393138232926413
"Montmorency County, Michigan",207.6,198.12697,0.045631173488491966
"Barrow County, Georgia",192.0,187.36029,0.02416515350341797
"Campbell County, Wyoming",215.9,147.67513,0.3160021995272334
"Big Stone County, Minnesota",178.0,166.54868,0.06433328349938554
"Santa Cruz County, California",145.4,153.98991,0.05907781252014912
"Hays County, Texas",149.5,140.79326,0.05823907246159072
"Richland County, South Carolina",184.8,172.10323,0.06870548859303137
"Summit County, Utah",123.6,139.25732,0.12667738041059876
"Quay County, New Mexico",190.6,195.82326,0.027404288805294167
"Benewah County, Idaho",222.2,200.59872,0.09721546190263552
"Sullivan County, New York",178.8,183.89471,0.028493928162576836
"Oklahoma County, Oklahoma",186.1,173.24069,0.06909891381691628
"Murray County, Georgia",204.0,188.01709,0.07834759880514706
"Hopkins County, Kentucky",196.7,194.22827,0.012565981269064509
"Jerome County, Idaho",147.6,164.69292,0.11580566985174251
"Marlboro County, South Carolina",231.1,237.04735,0.02573495466231477
"Howard County, Iowa",165.8,172.95357,0.04314576299688058
"Laurens County, Georgia",169.7,195.09128,0.1496245025113252
"Gasconade County, Missouri",180.8,194.28427,0.0745811462402343
"Cole County, Missouri",168.6,177.9791,0.05562927318496074
"Calhoun County, Georgia",162.8,208.93924,0.28341056205130905
"Somerset County, Maryland",216.5,217.78513,0.005935915623195728
"Northumberland County, Pennsylvania",177.5,185.80959,0.04681456659881162
"Dodge County, Nebraska",177.9,178.08818,0.0010577883192365476
"Greene County, Missouri",173.6,178.7087,0.029427963467786974
"Monroe County, Arkansas",229.9,219.0646,0.04713090164031918
"Buena Vista County, Iowa",149.1,157.60631,0.05705102604559654
"Swain County, North Carolina",215.3,203.25621,0.05593957116977043
"Pennington County, South Dakota",159.7,163.74013,0.02529823145570804
"Dallas County, Alabama",217.4,256.7626,0.18106073486552723
"Newton County, Mississippi",185.3,194.71985,0.050835664505194215
"Torrance County, New Mexico",164.3,197.53462,0.20228011072661473
"Pawnee County, Kansas",182.5,154.17899,0.15518364057148973
"Stark County, North Dakota",131.8,147.23279,0.11709247409664254
"Bosque County, Texas",190.7,187.72581,0.015596146726083122
"Scott County, Arkansas",207.4,193.96687,0.06476917469168125
"New Madrid County, Missouri",229.7,199.09239,0.13325036148117786
"Dimmit County, Texas",148.0,161.12714,0.08869686642208614
"Red River Parish, Louisiana",172.2,178.25313,0.035151730846444976
"Schuyler County, Missouri",208.7,192.7926,0.07622135822202918
"Fayette County, Georgia",140.8,152.63815,0.08407779173417516
"Morgan County, Alabama",184.9,186.01462,0.006028220226727254
"Colbert County, Alabama",190.5,178.66628,0.06211929121042487
"Sherman County, Nebraska",187.4,167.10295,0.10830869237030585
"Clay County, Kansas",169.2,169.37938,0.001060161184757381
"Tattnall County, Georgia",216.4,198.90492,0.08084601439301499
"Maries County, Missouri",187.4,182.33484,0.027028607965915184
"Vermilion County, Illinois",203.1,202.71341,0.0019034494149279633
"Roberts County, South Dakota",179.9,176.12898,0.020961742390520805
"Hot Springs County, Wyoming",163.0,162.442,0.0034233046455617333
"Mingo County, West Virginia",240.8,238.80835,0.008270973382994233
"Boone County, Arkansas",198.2,186.46437,0.059211045774273094
"San Benito County, California",150.4,168.59901,0.12100408432331487
"Park County, Colorado",137.9,155.56062,0.12806833334985718
"Randolph County, West Virginia",168.6,180.6139,0.07125686156792152
"Essex County, Vermont",171.3,197.2219,0.15132453771480947
"Santa Rosa County, Florida",190.7,172.19487,0.09703791297788569
"Logan County, West Virginia",240.1,226.74779,0.05561104758189945
"Sumter County, Alabama",216.2,209.94441,0.028934263499327827
"Grady County, Oklahoma",193.7,184.09744,0.0495743798298754
"Buena Vista city, Virginia",240.8,203.46083,0.15506299547974853
"Jackson County, Michigan",193.8,183.25162,0.054429218618985475
"Marshall County, Indiana",163.7,168.34927,0.02840118314991226
"Carroll County, Indiana",166.3,169.57182,0.019674222009123127
"Gibson County, Tennessee",214.7,207.71803,0.03251964211963636
"Cherokee County, Iowa",135.4,154.09984,0.13810811120262872
"Carteret County, North Carolina",191.5,178.64717,0.06711660041510281
"Hancock County, Illinois",170.0,173.66626,0.021566233915441175
"Muhlenberg County, Kentucky",207.1,214.30946,0.03481150893759811
"Midland County, Texas",148.3,151.73949,0.023192762605097277
"Henry County, Alabama",194.1,194.85136,0.0038710156400937313
"Bergen County, New Jersey",147.3,142.23798,0.03436540343368134
"Grant County, Minnesota",159.9,147.28365,0.0789015282684002
"White County, Arkansas",201.4,189.80258,0.057584003043151095
"Woods County, Oklahoma",125.3,156.1487,0.2461986983193461
"East Feliciana Parish, Louisiana",212.2,217.5365,0.025148440261251234
"Glades County, Florida",135.3,172.46886,0.27471438885087524
"Swift County, Minnesota",162.3,157.654,0.028625958361011696
"Leon County, Florida",155.8,147.37366,0.05408435669728826
"Butler County, Iowa",156.6,163.72775,0.04551566210438621
"Brevard County, Florida",181.2,171.2724,0.05478808000914039
"Metcalfe County, Kentucky",218.0,207.0014,0.05045227610736812
"Merrimack County, New Hampshire",173.1,177.19586,0.023661824473750755
"Montgomery County, Tennessee",195.4,170.7716,0.12604090867291456
"Botetourt County, Virginia",148.7,151.50012,0.018830679692753944
"Middlesex County, New Jersey",156.7,159.8688,0.020222111880284853
"Southampton County, Virginia",181.8,165.74254,0.08832487100028368
"Newport County, Rhode Island",164.0,155.30148,0.053039736864043445
"Macon County, Alabama",214.8,205.46068,0.043479152231909096
"Bear Lake County, Idaho",143.2,151.15611,0.05555944602582716
"Luna County, New Mexico",181.8,186.83942,0.027719562727757087
"Monongalia County, West Virginia",155.9,170.02681,0.09061455864260941
"Pierce County, Wisconsin",149.8,157.29144,0.05000963198326928
"Essex County, New Jersey",161.8,171.68199,0.061075349673352444
"Luce County, Michigan",175.3,186.73962,0.06525741028772097
"Warren County, Virginia",202.5,185.61108,0.08340205439814814
"Starr County, Texas",136.5,137.09381,0.004350263993818681
"Hardin County, Texas",190.7,187.16231,0.018551086841857245
"Crittenden County, Kentucky",211.2,190.49323,0.0980434417724609
"Coffee County, Alabama",173.3,175.76173,0.014205043328269192
"York County, Virginia",152.3,135.6309,0.10944907976777953
"Berrien County, Michigan",179.0,178.3409,0.003682141863434008
"Clay County, Texas",167.3,167.89066,0.003530517140335407
"Faulk County, South Dakota",146.6,172.33344,0.17553502768481416
"Lunenburg County, Virginia",189.8,162.1951,0.14544205017411424
"Kitsap County, Washington",164.9,163.11366,0.010832851911906872
"Palm Beach County, Florida",144.3,151.26718,0.048282615360251996
"Saline County, Missouri",205.8,202.7155,0.014987852876920912
"Pike County, Ohio",217.9,220.13365,0.010250811075715611
"Pope County, Arkansas",207.1,187.81682,0.09311048654126175
"Prentiss County, Mississippi",203.2,205.49011,0.011270237719918856
"Greene County, Ohio",159.2,167.99141,0.05522242023717226
"Ramsey County, Minnesota",166.5,157.81593,0.05215655719195758
"Blanco County, Texas",154.0,146.73381,0.047183049189579954
"Grant Parish, Louisiana",222.7,210.2744,0.05579524560524945
"Manassas city, Virginia",155.2,155.65053,0.0029028863022008628
"Gregory County, South Dakota",169.4,172.93253,0.02085316195257154
"Kalamazoo County, Michigan",171.0,179.3566,0.04886899356953582
"Gilmer County, West Virginia",209.9,192.93394,0.08082922962292315
"Beltrami County, Minnesota",162.6,184.13,0.1324108541378383
"Clay County, Minnesota",161.0,153.84492,0.04444146008224961
"Spokane County, Washington",171.0,176.86256,0.03428400050826937
"Dunn County, Wisconsin",155.6,158.70088,0.019928547287967984
"Laurens County, South Carolina",202.6,198.41068,0.02067781318446135
"Dorchester County, Maryland",185.4,185.83376,0.002339565766796423
"Clay County, Nebraska",148.9,159.8769,0.07371999562547217
"New Castle County, Delaware",177.2,169.37659,0.04415018671522285
"Auglaize County, Ohio",189.7,175.44518,0.07514404232525858
"Alcona County, Michigan",177.0,184.80646,0.044104279771363
"Sevier County, Tennessee",185.2,193.65105,0.04563200190566792
"Kiowa County, Colorado",200.9,160.13,0.20293676016519416
"Robeson County, North Carolina",193.0,184.64268,0.04330215058796146
"Wilson County, North Carolina",199.1,184.40004,0.0738320458420313
"Laclede County, Missouri",183.2,192.61594,0.05139703209223192
"Crawford County, Iowa",148.6,183.13112,0.23237630400009468
"Washington County, Minnesota",152.1,152.08066,0.00012716660759776015
"Richardson County, Nebraska",192.2,184.16853,0.041787027444353156
"Crisp County, Georgia",164.9,195.57053,0.1859947005642624
"Elmore County, Idaho",180.0,188.2362,0.045756700303819446
"Des Moines County, Iowa",170.1,180.71405,0.06239888473232661
"Stewart County, Tennessee",230.1,206.8845,0.10089306290488508
"Santa Fe County, New Mexico",126.1,132.106,0.04762888824438694
"Quitman County, Mississippi",254.5,213.7051,0.16029432855092707
"James City County, Virginia",149.0,141.57991,0.04979925987704488
"Caldwell Parish, Louisiana",200.1,207.53426,0.03715270355544887
"Divide County, North Dakota",93.8,108.24179,0.15396365428021724
