Geography,avgAnnCount,avgDeathsPerYear,incidenceRate,medIncome,popEst2015,povertyPercent,studyPerCap,binnedInc,MedianAge,MedianAgeMale,MedianAgeFemale,AvgHouseholdSize,PercentMarried,PctNoHS18_24,PctHS18_24,PctSomeCol18_24,PctBachDeg18_24,PctHS25_Over,PctBachDeg25_Over,PctEmployed16_Over,PctUnemployed16_Over,PctPrivateCoverage,PctPrivateCoverageAlone,PctEmpPrivCoverage,PctPublicCoverage,PctPublicCoverageAlone,PctWhite,PctBlack,PctAsian,PctOtherRace,PctMarriedHouseholds,BirthRate,TARGET_deathRate,City,State,Region,Division
"Linn County, Oregon",675.0,273,477.4,44358,120547.0,19.1,8.29551959,3,39.5,38.8,40.4,2.61,52.9,19.2,34.5,40.977034120734906,3.7,31.0,12.0,51.9,10.6,62.3,45.1,40.2,41.4,22.7,92.66039623,0.437921847,1.223827655,1.237276311,51.80709534,4.659172628,186.5,139,32,3,5
"Champaign County, Illinois",781.0,267,450.2,47966,169831.5,22.6,201.76685685,4,29.3,28.2,30.7,2.38,39.3,4.3,14.3,40.977034120734906,14.3,22.8,22.3,59.6,6.5,77.3,65.5,54.5,24.6,13.5,73.38384378,12.5880855,2.628021743,0.978295734,39.72870157,3.467190704,152.5,40,8,0,0
"Saratoga County, New York",1113.5,354,508.7,71885,169831.5,7.2,26.51945423,8,41.8,40.9,42.9,2.44,54.0,11.9,26.0,40.977034120734906,13.5,25.9,23.0,62.8,6.0,82.6,66.0,60.9,27.1,11.2,93.84021379,1.611447264,2.372929831,0.393253908,52.77076545,4.520913789,174.2,228,27,1,2
"Montmorency County, Michigan",88.0,37,484.4,37961,9259.0,15.7,0.0,1,52.349999999999994,50.699999999999996,54.449999999999996,2.27,51.5,32.3,26.3,40.977034120734906,3.5,41.9,6.8,36.1,16.0,60.8,32.9,27.5,53.1,21.0,97.05350495,0.361663653,0.0,0.34038932,49.21375921,3.263086336,207.6,172,17,0,0
"Barrow County, Georgia",281.0,114,457.7,49698,75370.0,13.0,0.0,5,34.8,32.9,36.2,2.995,52.0,25.0,38.3,40.977034120734906,2.1,35.0,11.5,59.0,10.1,62.1,52.3,46.4,28.5,18.3,80.50602677,11.57862578,2.628021743,1.976059546,55.19524618,5.318186956,192.0,8,6,2,6
"Campbell County, Wyoming",146.0,58,436.5,74146,49220.0,7.1,0.0,8,32.7,32.4,32.9,2.71,56.6,18.3,37.6,40.977034120734906,5.8,34.4,14.7,73.6,4.0,77.0,69.1,65.1,16.1,8.8,93.57257409,0.791452315,0.635244621,1.970299711,56.15648201,5.19665272,215.9,35,45,3,3
"Big Stone County, Minnesota",1113.5,19,453.5494221,46495,5040.0,12.8,0.0,4,49.2,47.6,50.4,2.18,63.2,36.85,20.7,40.977034120734906,6.1,42.4,13.4,57.6,3.3,76.1,53.5,35.3,38.7,14.9,98.03272302,0.194779899,0.077911959,0.116867939,56.35407537,7.09382151,178.0,18,18,0,7
"Santa Cruz County, California",1113.5,354,450.4,64257,169831.5,16.1,83.89690165,8,37.0,35.9,38.3,2.72,44.9,8.5,21.9,40.977034120734906,8.7,15.5,23.2,59.4,7.6,68.3,56.0,45.6,29.9,17.8,80.54538432,0.941406279,2.628021743,4.196506469,47.95784899,4.539151472,145.4,225,2,3,5
"Hays County, Texas",515.0,188,399.8,59569,169831.5,17.5,30.8104694,7,30.9,30.3,31.7,2.78,45.8,6.9,18.5,40.977034120734906,8.3,21.4,25.1,62.4,6.7,72.7,61.8,52.9,20.6,10.6,84.79573332,3.528345029,1.412464379,4.196506469,49.023794,4.207066557,149.5,109,38,2,8
"Richland County, South Carolina",1113.5,354,455.7,49782,169831.5,16.1,191.62218,5,32.7,31.1,34.6,2.53,38.7,8.4,27.3,40.977034120734906,10.1,22.5,22.1,57.6,9.4,69.5,48.45377358490566,45.5,30.1,16.4,46.89255314,28.295456226500004,2.628021743,1.575525447,39.41986227,4.618133504,184.8,217,35,2,6
