Geography,avgAnnCount,avgDeathsPerYear,incidenceRate,medIncome,popEst2015,povertyPercent,studyPerCap,binnedInc,MedianAge,MedianAgeMale,MedianAgeFemale,AvgHouseholdSize,PercentMarried,PctNoHS18_24,PctHS18_24,PctSomeCol18_24,PctBachDeg18_24,PctHS25_Over,PctBachDeg25_Over,PctEmployed16_Over,PctUnemployed16_Over,PctPrivateCoverage,PctPrivateCoverageAlone,PctEmpPrivCoverage,PctPublicCoverage,PctPublicCoverageAlone,PctWhite,PctBlack,PctAsian,PctOtherRace,PctMarriedHouseholds,BirthRate,TARGET_deathRate,City,State,Region,Division
"Cumberland County, Maine",1192.5,329.875,479.6,61436,153227.875,10.8,209.76802446875,7,41.9,40.3,43.3,2.37,49.4,10.0,24.3,40.977034120734906,14.4,24.1,26.150000000000002,64.5,5.4,74.3,48.45377358490566,53.5,30.1,14.6,92.5076629,2.659033479,2.08654441,0.351601956,47.825159,3.772833827,173.3,379,19,1,4
"Perry County, Kentucky",192.0,93.0,570.7874999999999,31265,27565.0,27.5,209.76802446875,9,41.4,40.2,41.8,2.47,53.6,23.0,35.5,33.9,7.6,32.2,7.3,41.3,13.9,48.3,48.45377358490566,33.3,48.4,32.1,96.34463821,1.433615064,0.55989444,0.0,50.8032491,4.955913652,280.8,1154,17,2,1
"Camden County, New Jersey",1192.5,329.875,530.9,61685,153227.875,13.0,209.76802446875,8,38.3,36.6,40.1,2.71,44.7,13.1,33.2,40.977034120734906,11.6,31.3,19.4,59.6,10.2,68.3,55.7,51.4,31.9,18.6,63.28325501,19.40984144,2.680286200625,5.051674124625,45.97396038,5.434939238,182.8,221,30,1,2
"Pinal County, Arizona",1192.5,329.875,330.9,49876,153227.875,17.6,19.67613089,5,37.6,36.9,38.5,2.87,49.9,28.3,36.3,40.977034120734906,2.2,30.1,11.7,44.3,10.6,61.6,48.45377358490566,40.7,39.5,22.8,79.37255626,4.606282647,1.718440524,5.051674124625,54.21202361,5.719536436,133.5,1168,2,3,3
"Washington County, Kansas",1192.5,18.0,453.5494221,43264,5598.0,10.8,0.0,3,46.3,44.1,48.4,2.27,62.5,14.8,19.9,40.977034120734906,15.849999999999998,38.0,13.2,64.5,3.1,74.4,48.45377358490566,44.7,33.9,13.7,97.22124516,0.756243405,0.175870559,0.281392895,57.33005733,5.961538462,172.4,1577,16,0,7
"Lafourche Parish, Louisiana",478.0,203.0,467.5,47382,98325.0,17.6,20.34070684,4,36.6,35.6,37.6,2.68,49.4,17.8,37.7,38.5,6.0,39.1,10.2,56.8,7.0,63.4,50.4,44.6,33.4,19.4,79.5422369,13.35227856,0.81355028,1.597349037,51.08732299,4.817078346,198.7,831,18,2,8
"Antrim County, Michigan",161.0,66.0,422.1,45743,23154.0,13.0,0.0,4,49.5,48.6,50.2,2.38,60.1,25.4,27.6,40.977034120734906,5.7,33.7,15.8,49.3,9.7,64.6,41.6,35.4,45.7,21.8,96.07598745,0.322344952,0.275067692,0.709158895,58.22066261,3.888098625,167.7,41,22,0,0
"Montgomery County, Arkansas",58.0,24.0,400.3,34597,8970.0,20.1,0.0,0,48.5,47.7,49.1,2.33,59.8,15.2,45.2,40.977034120734906,0.4,37.6,7.9,47.8,4.3,48.6,33.8,24.2,47.0,28.1,94.42209416,0.739371534,0.663259759,0.456670653,55.80678314,4.152249135,146.2,1004,3,2,8
"Hancock County, Maine",383.0,136.0,491.9,45807,54659.0,12.9,18.29524872,4,47.4,46.2,48.4,2.18,54.1,7.8,24.7,40.977034120734906,14.3,33.1,20.1,57.7,7.7,64.0,46.6,36.7,37.7,18.1,96.6573969,0.481173845,0.900142706,0.075011892,49.67789586,5.103569855,165.4,635,19,1,4
"Highlands County, Florida",769.0,329.875,413.7,35787,99491.0,19.5,0.0,0,52.1,50.2,54.0,2.39,54.0,33.0,34.0,40.977034120734906,1.4,36.3,10.7,37.6,13.3,53.2,27.8,21.6,54.6,25.3,83.03941909,9.559840534,1.504149378,3.765966968,51.71176077,5.119076848,161.6,679,9,2,6
