Geography,avgAnnCount,avgDeathsPerYear,incidenceRate,medIncome,popEst2015,povertyPercent,studyPerCap,binnedInc,MedianAge,MedianAgeMale,MedianAgeFemale,AvgHouseholdSize,PercentMarried,PctNoHS18_24,PctHS18_24,PctSomeCol18_24,PctBachDeg18_24,PctHS25_Over,PctBachDeg25_Over,PctEmployed16_Over,PctUnemployed16_Over,PctPrivateCoverage,PctPrivateCoverageAlone,PctEmpPrivCoverage,PctPublicCoverage,PctPublicCoverageAlone,PctWhite,PctBlack,PctAsian,PctOtherRace,PctMarriedHouseholds,BirthRate,City,State,Region,Division,TARGET_deathRate
"Greene County, North Carolina",0.08343868520859671,0.12237093690248566,0.291870421748069,0.13323589166914782,0.8465430016863408,0.0,0.5343999999999999,0,0.4949152542372881,0.5929339477726575,0.8799159411588113,0.3843648208469055,0.5619174434087884,0.6989619377162629,1.0,0.18296529968454261,0.522875816993464,0.19027484143763213,0.4991568296795953,0.7371794871794872,0.44857142857142857,0.4579870729455218,0.3379501385041551,0.6351931330472101,0.7071320182094081,0.49521541172047484,1.0,0.055978167169242476,1.0,0.4781719394694106,0.8910401714199381,0.40745628505443743,603,33,2,6,0.6481951351534222
"McHenry County, Illinois",1.0,1.0,1.0,1.0,0.12478920741989885,0.0,0.5439999999999997,8,0.535593220338983,0.5499231950844855,0.9232796290736851,0.7622149837133552,0.3834886817576565,0.5743944636678201,1.0,0.662460567823344,0.4139433551198257,0.8118393234672303,0.8128161888701516,0.4871794871794872,0.8071428571428572,0.6048711650028749,0.8716528162511542,0.24892703862660945,0.30045523520485584,0.9049379454112463,0.05430577371529262,0.9826357809796031,0.5228421734737424,0.8866241640853609,0.4572037636176318,0.4015176509402838,948,13,0,0,0.7391319056801652
"Wichita County, Kansas",1.0,0.009177820267686425,0.6148979062294168,0.008713975086758351,0.2799325463743677,0.0,0.42879999999999996,6,0.4101694915254237,0.5591397849462366,0.9232796290736851,0.8143322475570032,0.9826897470039947,0.35640138408304495,1.0,1.0,0.4814814814814815,0.42283298097251576,0.8397976391231029,0.17307692307692313,0.7057142857142857,0.5669436749769161,0.3564173591874422,0.4721030042918455,0.3125948406676783,0.9368435079167055,0.0,0.11849643367411276,0.5748215701098016,0.7881905609354152,0.7532522477621216,0.38898053447707026,1614,16,0,7,0.6827008277681926
"Mineral County, Montana",0.024441635061104087,0.027533460803059275,0.2756232410530728,0.02245423399614991,0.47554806070826316,0.0,0.9999999999999999,0,1.0,0.872503840245776,0.8832516094599554,0.49728555917481,0.4527296937416778,1.0,1.0,0.8201892744479496,0.7472766884531589,0.3086680761099366,0.41652613827993246,0.7307692307692308,0.3714285714285714,0.1662049861495845,0.12373037857802399,0.9141630901287552,0.7435508345978755,0.9826578650597975,0.0028560374506456003,0.06162485594317669,0.028025603296513036,0.543234334375706,0.3555674588470789,0.4259320356318047,984,26,3,3,0.9134273825230895
"Ohio County, West Virginia",0.25453013063632535,0.367112810707457,0.3503922077403645,0.27714771516522024,0.5126475548060708,1.0,0.6719999999999996,1,0.6406779661016948,0.7004608294930877,0.7398178725107577,0.4799131378935939,0.23701731025299605,0.4619377162629757,1.0,0.5110410094637224,0.588235294117647,0.6849894291754756,0.6475548060708263,0.3269230769230769,0.6942857142857144,0.6048711650028749,0.6352723915050784,0.5364806866952789,0.43095599393019723,0.923570412086401,0.16753552113021572,0.3172034146210759,0.05715843537738777,0.4554532378407825,0.3474491402435686,0.41141537446387333,1085,48,2,6,0.8108528705301264
"Tillamook County, Oregon",0.13822166034555416,0.19579349904397705,0.3796730604179558,0.16288834153139253,0.48229342327150093,0.18583287704941545,0.8223999999999997,2,0.7796610169491525,0.8571428571428573,0.8098669068347846,0.6319218241042346,0.5352862849533956,0.615916955017301,1.0,0.34700315457413256,0.5904139433551198,0.4608879492600423,0.4789207419898819,0.47435897435897434,0.5671428571428572,0.48568790397045253,0.42105263157894723,0.7038626609442059,0.5857359635811835,0.9067714610110533,0.00936071979535374,0.3213043345144205,0.6826811415227632,0.6385567841734299,0.5709175640130115,0.347740019795447,1476,37,3,5,0.624919652220982
"Wood County, Ohio",0.44416350611040883,0.7005736137667304,0.6458154527853736,0.8458133303149383,0.3473861720067454,1.0,0.3999999999999998,7,0.3864406779661016,0.4178187403993855,0.8065312385336403,0.5450597176981542,0.14647137150466047,0.28719723183391005,1.0,0.6750788643533123,0.5185185185185185,0.6553911205073994,0.7504215851602024,0.43589743589743596,0.8500000000000001,0.9547553093259467,0.9030470914127423,0.27896995708154504,0.24279210925644915,0.9127439450182724,0.10953304464412265,0.6275895904727474,0.1952126007481143,0.6046701489094917,0.4831039005428371,0.37380402507423294,1640,35,0,0,0.545891268310836
"Williamsburg County, South Carolina",0.14917825537294563,0.281453154875717,0.13909901997964114,0.2080461551963556,0.8465430016863408,0.0,0.5983999999999997,9,0.5423728813559321,0.6574500768049157,0.8732446045565231,0.30618892508143325,0.615179760319574,0.6401384083044982,1.0,0.2523659305993691,0.7145969498910674,0.20295983086680758,0.42664418212478916,0.717948717948718,0.42142857142857143,0.6048711650028749,0.3841181902123729,0.7060085836909871,0.7192716236722306,0.24293097213387127,1.0,0.05724718314194228,0.07861469251631122,0.3801204315611949,0.41680992847375137,0.5447047179148796,1624,40,2,6,0.6059744916945772
"Jack County, Texas",0.03118415507796039,0.04282982791586998,0.5866150376239997,0.05281535050701654,0.39460370994940985,0.0,0.5823999999999997,6,0.4745762711864405,0.6605222734254993,0.8432235898462257,0.7339847991313788,0.804260985352863,0.7629757785467127,1.0,0.03785488958990537,0.718954248366013,0.19873150105708243,0.46374367622259693,0.3333333333333333,0.5485714285714285,0.5410895660203141,0.42843951985226225,0.46781115879828317,0.424886191198786,0.9163511535067974,0.20700812172078042,0.016682069619868845,0.28102146911651454,0.9038723282269887,0.742393595500498,0.3520290333223359,740,43,2,8,0.5843228796644001
"Madison County, Arkansas",0.05983986514959966,0.1101338432122371,0.32969401808347143,0.09801909626957549,0.4991568296795954,0.0,0.6239999999999998,1,0.6271186440677965,0.6236559139784946,0.8132025751359285,0.8490770901194353,0.3701731025299601,0.7906574394463667,1.0,0.1135646687697161,0.8387799564270152,0.19450317124735728,0.6121416526138279,0.44230769230769235,0.48714285714285716,0.5189289012003695,0.45429362880886426,0.5901287553648068,0.6160849772382396,0.9428390226649193,0.01875734992611381,0.2304812448222691,0.1411977325542449,0.8650669344510911,0.34501649571262677,0.4473771032662488,909,3,2,8,0.5199093338746238
"Ransom County, North Dakota",0.024441635061104087,0.03977055449330784,0.6712440869443724,0.030308622685042787,0.17537942664418218,0.0,0.7103999999999998,7,0.6677966101694914,0.7465437788018435,0.7431535408119018,0.7209554831704668,0.5352862849533956,0.7906574394463667,0.5460926695668681,0.5425867507886436,0.6296296296296295,0.5116279069767441,0.790893760539629,0.10256410256410257,0.8757142857142857,0.8901200369344415,0.7645429362880886,0.390557939914163,0.1881638846737481,0.9689595743436041,0.023676531127068863,0.10947206605458028,0.0,0.6559100716694635,0.9910932043073193,0.4015176509402838,1229,34,0,7,0.6649751344768092
"Mitchell County, North Carolina",0.08343868520859671,0.12848948374760993,0.2825292908325183,0.09460043586279754,0.539629005059022,0.6253667580281889,0.7807999999999998,0,0.7593220338983049,0.7803379416282644,0.7798458921244872,0.7079261672095549,0.5139813581890813,0.3373702422145328,1.0,0.7381703470031546,0.5664488017429193,0.35940803382663844,0.490725126475548,0.5256410256410257,0.5642857142857143,0.5170821791320408,0.40627885503231753,0.611587982832618,0.5007587253414264,0.962081781482214,0.03526681476244771,0.11438643713813418,0.2375966652617559,0.7114113351725901,0.40680740844618846,0.3998680303530189,990,33,2,6,0.6739064244392573
"Carroll County, New Hampshire",0.2983565107458913,0.39770554493307836,0.6969122372806932,0.30483164655907075,0.25295109612141653,0.0,0.8959999999999996,7,0.9118644067796609,0.8817204301075269,0.7331465359084695,0.7882736156351791,0.39414114513981363,0.7681660899653978,0.897363089450421,0.21451104100946375,0.5206971677559912,0.7399577167019026,0.657672849915683,0.34615384615384615,0.6814285714285715,0.5946445060018468,0.49307479224376727,0.540772532188841,0.32776934749620634,0.9710080902590708,0.014520689907400335,0.22379544164355578,0.005416211007480828,0.7240402958334025,0.787425561808367,0.3599472121412076,237,29,1,4,0.7591596468080789
"Linn County, Iowa",0.9068689422671724,1.0,0.7995848386259755,1.0,0.20573355817875214,1.0,0.4735999999999999,8,0.46101694915254243,0.4823348694316437,0.799859901931352,0.6102062975027145,0.2636484687083889,0.4117647058823529,1.0,0.6687697160883281,0.42919389978213507,0.8076109936575052,0.833052276559865,0.28205128205128205,0.7971428571428572,0.873499538319483,0.8014773776546628,0.37768240343347637,0.3399089529590288,0.8858204974416672,0.1703505834144338,0.741056854501896,0.1858561662604664,0.5937138671035826,0.6137623503273517,0.36192675684592546,878,15,0,7,0.7402144862816741
"Clay County, Indiana",0.12473662031184155,0.18049713193116634,0.43402327298856314,0.16846581052517612,0.3811129848229343,0.0,0.5791999999999998,3,0.5999999999999999,0.5714285714285715,0.8398879215450817,0.7535287730727469,0.5858854860186419,0.6401384083044982,1.0,0.2965299684542587,0.8148148148148147,0.3002114164904862,0.639123102866779,0.47435897435897434,0.6528571428571428,0.6943674976915974,0.6500461680517082,0.47854077253218874,0.43095599393019723,0.9708315553944191,0.009524905184824023,0.02796181392215647,0.052667116372980646,0.7969405061690193,0.8945390979401211,0.418013856812933,309,14,0,0,0.7648431949660003
"Escambia County, Florida",1.0,1.0,0.46903255424043433,1.0,0.4080944350758854,1.0,0.4768,4,0.423728813559322,0.5314900153609833,0.8365522532439374,0.39522258414766553,0.3435419440745673,0.5346020761245673,1.0,0.4227129337539433,0.46623093681917205,0.5877378435517969,0.5868465430016863,0.576923076923077,0.6171428571428572,0.6001846722068331,0.42105263157894723,0.5107296137339055,0.4734446130500758,0.6543640522028096,0.8716427375382414,1.0,0.237743790745638,0.432581327803356,0.46797983263461734,0.419003629165292,487,9,2,6,0.6573970702662474
"Ritchie County, West Virginia",0.05562579013906448,0.08871892925430211,0.4739027165126445,0.06005949847070721,0.4890387858347387,0.0,0.7327999999999998,4,0.7694915254237287,0.7066052227342549,0.84655925814737,0.5732899022801303,0.615179760319574,0.657439446366782,1.0,0.018927444794952685,0.8801742919389978,0.160676532769556,0.4586846543001686,0.6538461538461539,0.5014285714285713,0.4284395198522623,0.43397968605724835,0.7660944206008582,0.6585735963581183,0.9803422116800149,0.019098834943466182,0.0,0.005856632528171289,0.6112578842976681,0.6685599554527145,0.5113823820521279,1260,48,2,6,0.8138299671842758
"Russell County, Kansas",1.0,0.0520076481835564,0.4551406159557694,0.040748332295760054,0.3406408094435076,0.0,0.7935999999999998,4,0.7254237288135592,0.804915514592934,0.6997898528970281,0.7578718783930509,0.6711051930758989,0.5363321799307957,0.9888705097562205,0.20189274447949532,0.5511982570806099,0.4482029598308668,0.7268128161888702,0.41666666666666674,0.6885714285714286,0.6038781163434903,0.38042474607571564,0.6030042918454934,0.40667678300455234,0.9491656395317503,0.050230783172170966,0.0,0.002832772987125786,0.667488977488192,0.9999999999999999,0.304190036291653,1287,16,0,7,0.6827008277681926
"Izard County, Arkansas",0.07332490518331226,0.1193116634799235,0.201672621304964,0.08278276332420433,0.6340640809443508,0.0,0.8255999999999998,9,0.7966101694915253,0.8632872503840247,0.7531605457153341,0.729641693811075,0.5725699067909454,0.6314878892733563,1.0,0.012618296529968457,0.7080610021786492,0.23678646934460884,0.3912310286677908,0.6153846153846154,0.44,0.6048711650028749,0.2843951985226223,0.8175965665236049,0.7283763277693475,0.9662127384950696,0.04848737972615981,0.08026513398077947,0.07929915155200895,0.7362527186624102,0.5133139338570528,0.41042560211151435,739,3,2,8,0.5919009438749622
"Newberry County, South Carolina",0.16182048040455121,0.2630975143403442,0.38641943274585344,0.24398474070100584,0.5463743676222598,0.0,0.5951999999999998,2,0.5796610169491525,0.6205837173579108,0.8432235898462257,0.48859934853420195,0.4953395472703063,0.5553633217993079,1.0,0.40378548895899063,0.596949891067538,0.34672304439746293,0.5784148397976391,0.6282051282051282,0.5871428571428572,0.587257617728532,0.5281625115420129,0.6030042918454934,0.5735963581183611,0.5735972862767575,1.0,0.2405464576318971,1.0,0.5350958060044848,0.5928291087455023,0.4137248432860442,1049,40,2,6,0.6089515883487265
"Stephens County, Oklahoma",0.21154656552886641,0.3395793499043977,0.40572044470170265,0.287088733430611,0.41483979763912315,0.0,0.5695999999999998,3,0.5728813559322032,0.5683563748079877,0.0009006304413089151,0.6970684039087949,0.6125166444740346,0.6003460207612457,1.0,0.2965299684542587,0.6840958605664487,0.43551797040169127,0.6104553119730184,0.39743589743589747,0.5742857142857143,0.5558633425669437,0.48938134810710976,0.5557939914163089,0.5098634294385431,0.8223240281562205,0.08365331053002592,0.19318377115073018,0.6149895463081996,0.6767682448996337,0.30679004832635726,0.4269218079841637,1418,36,2,8,0.6509015866571942
"Dyer County, Tennessee",0.14917825537294563,0.24780114722753344,0.4148619788028184,0.24320389504187614,0.5531197301854976,0.0,0.5759999999999997,3,0.5694915254237289,0.6052227342549924,0.8298809166416492,0.6210640608034745,0.46071904127829566,0.6453287197231833,1.0,0.21451104100946375,0.7124183006535948,0.38477801268498935,0.6155143338954469,0.39743589743589747,0.5942857142857143,0.6408125577100647,0.6020313942751615,0.5665236051502145,0.5857359635811835,0.800074992501546,0.5383887492198708,0.216675989998597,0.16542131883101882,0.6258524756916537,0.6916154570947689,0.4153744638733091,455,42,2,1,0.5594235258296968
"Hopewell city, Virginia",0.11209439528023599,0.18967495219885278,0.3489351509949902,0.1413986815847558,0.5497470489038787,0.0,0.4671999999999997,1,0.423728813559322,0.4854070660522275,0.8365522532439374,0.26492942453854496,0.8388814913448736,0.6314878892733563,0.5815148967820163,0.3280757097791799,0.6710239651416121,0.23678646934460884,0.5868465430016863,0.794871794871795,0.5671428571428572,0.5521698984302863,0.48753462603878106,0.5922746781115878,0.5857359635811835,0.47332723157931006,1.0,0.5459347463188039,0.8396548247883806,0.1717035873048044,0.6367455645361073,0.6110194655229297,694,46,2,6,0.9372441557562844
"Clay County, Kentucky",0.10535187526337969,0.1713193116634799,0.051396179716971746,0.13244192255356216,0.9999999999999999,0.0,0.5375999999999997,9,0.4983050847457626,0.58678955453149,0.8365522532439374,0.5450597176981542,0.8095872170439414,0.6072664359861591,1.0,0.23343848580441645,0.6405228758169934,0.11839323467230442,0.23608768971332206,0.9935897435897437,0.2485714285714286,0.6048711650028749,0.23822714681440438,0.9892703862660941,1.0000000000000002,0.9262321734569783,0.1579756097703179,0.02101940754941128,0.12732264040245192,0.5626550134943225,0.8148259721048705,0.6812933025404156,309,17,2,1,1.0
"Warren County, Iowa",0.20901812052254531,0.2630975143403442,0.892237679886629,0.3136309241127928,0.1045531197301855,1.0,0.5151999999999998,8,0.5016949152542374,0.5284178187403995,0.8398879215450817,0.7274701411509228,0.24766977363515316,0.4342560553633218,1.0,0.49211356466876977,0.5468409586056645,0.7568710359408032,0.8499156829679594,0.28205128205128205,0.8442857142857143,0.9215143120960296,0.8587257617728531,0.3476394849785407,0.29742033383915023,0.9646781475883417,0.020282619628441086,0.1436125757429345,0.07369881267383555,0.7972684597154263,0.47237911537601374,0.36588584625536125,1570,15,0,7,0.7970499678608886
"Bamberg County, South Carolina",0.07163927517909818,0.1101338432122371,0.15386918424781948,0.09219884333135661,0.8937605396290053,0.0,0.5759999999999997,9,0.5491525423728814,0.58678955453149,0.796524233630208,0.3170466883821933,0.4553928095872171,0.4152249134948096,1.0,0.0,0.3856209150326797,0.42283298097251576,0.44519392917369305,0.6730769230769231,0.35428571428571426,0.24007386888273324,0.19944598337950137,0.7939914163090127,0.7860394537177541,0.2853981410591383,1.0,0.14747773200780814,0.20267470302748458,0.3482938536473089,0.9999999999999999,0.4216430221049159,84,40,2,6,0.6395344903413515
"Bracken County, Kentucky",0.046354825115887066,0.061185468451242835,0.3846230614159398,0.04916046788403129,0.5193929173693087,0.0,0.5983999999999997,2,0.5898305084745761,0.5898617511520737,0.8398879215450817,0.6579804560260585,0.5938748335552597,0.615916955017301,1.0,0.04416403785488959,0.7821350762527232,0.28329809725158556,0.6164020655488471,0.5064102564102565,0.6342857142857143,0.6048711650028749,0.6408125577100646,0.5622317596566522,0.597875569044006,0.9881042404312612,0.0009577753860589439,0.0,0.18091954576896718,0.6146327799270277,0.6965514709776398,0.584295612009238,162,17,2,1,1.0
"Burke County, North Carolina",0.4669195111672988,0.669980879541109,0.33202930081235904,0.5775173865292641,0.5834738617200675,0.10731795309133821,0.6591999999999997,1,0.6440677966101693,0.6789554531490015,0.8365522532439374,0.5428881650380022,0.644474034620506,0.5432525951557092,0.9918223620241495,0.2271293375394322,0.485838779956427,0.34672304439746293,0.5413153456998313,0.717948717948718,0.5028571428571429,0.6048711650028749,0.45244690674053545,0.6416309012875535,0.637329286798179,0.8308645951281022,0.2391995883473074,1.0,0.6437246694414194,0.5646476195726522,0.4915855154684135,0.4232926426921808,196,33,2,6,0.7894719036503267
"Chippewa County, Minnesota",1.0,0.09177820267686423,0.5715255184527256,0.07401629441162214,0.2799325463743677,0.0,0.6623999999999998,6,0.6813559322033897,0.6758832565284177,0.7798458921244872,0.7231270358306188,0.6045272969374168,0.5138408304498269,1.0,0.3091482649842272,0.6209150326797385,0.3932346723044397,0.8094435075885328,0.14102564102564102,0.6599999999999999,0.6048711650028749,0.49307479224376727,0.6072961373390556,0.5705614567526555,0.9318331413605663,0.032863934441558336,0.09209177696860979,0.19218852246770188,0.6919115363410062,0.9508692174094463,0.3546684262619597,288,23,0,7,0.6827008277681926
"Lawrence County, Alabama",0.16182048040455121,0.2294455066921606,0.3779166084509292,0.2118519575685844,0.45193929173693104,0.0,0.6207999999999999,2,0.6237288135593217,0.6205837173579108,0.8132025751359285,0.6796959826275786,0.4287616511318243,0.6557093425605536,1.0,0.4290220820189275,0.7211328976034858,0.21987315010570824,0.49578414839797635,0.6025641025641026,0.6314285714285715,0.6048711650028749,0.559556786703601,0.540772532188841,0.49468892261001507,0.7477496383778457,0.4622536754473347,0.04110193529866747,0.011787898334479456,0.6714847296486015,0.5152279412922542,0.4407786209171891,852,0,2,1,0.7743157752292028
"Chippewa County, Michigan",0.1525495153813738,0.23250478011472275,0.32632083191952266,0.24412253699379344,0.5632377740303542,0.0,0.5343999999999999,1,0.5457627118644066,0.543778801843318,0.8132025751359285,0.4755700325732899,0.3302263648468709,0.5259515570934256,1.0,0.39747634069400634,0.6601307189542482,0.3932346723044397,0.48397976391231023,0.7243589743589743,0.612857142857143,0.5595567867036013,0.49492151431209586,0.6223175965665235,0.534142640364188,0.683352826115782,0.27008361589352303,0.33745393487795866,0.04976301059773152,0.5934668702082808,0.6190077421405968,0.3662157703728143,288,22,0,0,0.5772861057545927
"Boone County, Illinois",0.20143278550358196,0.25697896749521987,0.7215824035448396,0.34617053439534906,0.23608768971332209,0.0,0.5087999999999998,7,0.5050847457627117,0.5192012288786484,0.9766503218919913,0.6948968512486429,0.567243675099867,0.5415224913494809,1.0,0.5867507886435332,0.6209150326797385,0.42706131078224097,0.715008431703204,0.5961538461538461,0.6985714285714286,0.7811634349030472,0.7368421052631577,0.42060085836909866,0.4430955993930197,0.8598182624671498,0.08923219623962075,0.4870576648477275,1.0,0.8346399313562425,0.5996255963247598,0.34312108215110526,150,13,0,0,0.667140295679827
"Leflore County, Mississippi",0.13400758533501897,0.22332695984703632,0.0758268298037964,0.19796734063817728,0.9999999999999999,0.0,0.33919999999999983,9,0.29491525423728815,0.38095238095238104,0.9132726241702526,0.0933767643865363,0.4553928095872171,0.5813148788927335,1.0,0.2965299684542587,0.5729847494553376,0.3805496828752642,0.36593591905564915,0.9999999999999999,0.23714285714285716,0.27331486611265016,0.2419205909510619,0.8111587982832618,1.0000000000000002,0.16923525448923704,1.0,0.3030593609035438,0.19094450497073664,0.13578739380424043,0.5066279554706435,0.5770372814252722,861,24,2,1,0.8395412564701109
"Westmoreland County, Virginia",0.09692372524230931,0.1407265774378585,0.5108081675016467,0.11023703423007551,0.3979763912310288,0.0,0.7775999999999997,5,0.7728813559322034,0.8079877112135178,0.8298809166416492,0.5320304017372421,0.16511318242343545,0.6885813148788926,1.0,0.2965299684542587,0.6274509803921567,0.3805496828752642,0.563237774030354,0.5961538461538461,0.6057142857142856,0.5558633425669437,0.46352723915050786,0.5751072961373389,0.43095599393019723,0.6415780689386366,1.0,0.2146297372518862,0.2987859954470133,0.5548680908473502,0.3911536148576825,0.3965687891784889,1599,46,2,6,0.6755302953415204
"Starke County, Indiana",0.1146228402865571,0.18661567877629062,0.4211492784575158,0.1452044839569846,0.41483979763912315,0.0,0.6175999999999998,3,0.6338983050847458,0.6144393241167435,0.8665732679542348,0.6427795874049946,0.6711051930758989,0.7110726643598615,1.0,0.6309148264984228,0.7581699346405227,0.21564482029598303,0.581787521079258,0.7115384615384616,0.6185714285714285,0.6278855032317638,0.5650969529085872,0.5793991416309012,0.543247344461305,0.9513951877083062,0.02687774572430338,0.11781761213648156,0.38534143790292547,0.6819126957085755,0.7495632298649186,0.5384361596832729,1413,14,0,0,0.7919077100037216
"Concho County, Texas",0.007585335018963338,0.012237093690248564,0.36320632322708135,0.021338740197393187,0.7858347386172008,0.0,0.5919999999999997,2,0.5728813559322032,0.7588325652841782,1.0,0.5993485342019544,0.8788282290279628,0.8079584775086505,1.0,0.36593059936908523,0.49237472766884527,0.241014799154334,0.17200674536256322,0.15384615384615385,0.5185714285714287,0.46722068328716543,0.44136657433056314,0.7017167381974247,0.6585735963581183,0.9280509370797689,0.020735978086178542,0.2921934294992002,0.8865789186931109,0.8713831676408741,0.9999999999999999,0.3203563180468493,342,43,2,8,0.35021482458811193
"Houston County, Alabama",0.4677623261694059,0.6852772466539196,0.3489750703578771,0.678115241992436,0.569983136593592,0.1372861719174468,0.5343999999999999,1,0.5152542372881357,0.5591397849462366,0.8665732679542348,0.5168295331161781,0.47936085219707064,0.6245674740484428,1.0,0.3154574132492114,0.5577342047930283,0.4566596194503171,0.6138279932546373,0.5064102564102565,0.5871428571428572,0.6038781163434903,0.48938134810710976,0.5472103004291845,0.5493171471927162,0.6626598534375259,1.0,0.2854046324685857,0.1630912686912795,0.5397336082554658,0.604242648703094,0.4285714285714286,697,0,2,1,0.7469806150411044
